ts,fibrils,realizations,events,singleton_events,singleton_fraction,xmin,tail_events,tail_fraction,tail_distinct_sizes,tail_fibrils,tail_realizations,initial_size_min,initial_size_median,initial_size_max,n0_vs_max_spearman_rho,n0_vs_max_p,n0_vs_q999_spearman_rho,n0_vs_q999_p
2,50,50000,6796929,5238180,0.7706686357912522,69,16831,0.002476265383969731,265,50,15218,7377,9995.0,12804,0.5108539098263617,0.00015021521784558932,0.223038878938201,0.11949000890398516
8,50,50000,12890665,10601287,0.8224003183699212,3,1194887,0.09269397661020591,384,50,50000,12514,15213.5,18160,0.1025764163345135,0.4784160788154393,-0.030546817552647827,0.8332115351765195
16,50,50000,18860218,16281437,0.8632687596718129,3,1179950,0.06256290356771062,353,50,50000,17280,20126.5,24903,0.27348908755854606,0.05463570499537915,0.03945124813384798,0.7856123560246013
32,50,50000,26935855,24043453,0.8926188903229543,4,671260,0.024920686571857475,376,50,49996,21563,26831.5,29386,0.011190087523694867,0.9385225852598307,-0.5086533250452767,0.0001621629819173947
64,50,50000,35462519,32263784,0.9097995548483174,6,296050,0.00834825072635139,300,50,49412,29967,33363.0,36122,0.28113144249157235,0.04796184515324743,-0.5306281464657833,7.372347265200185e-05
128,50,50000,39404004,36097513,0.9160874361904947,6,261887,0.0066462027564508416,288,50,48776,31068,36020.5,38368,0.4766707557198496,0.00046606215386911894,0.16086077140522426,0.26443311448244605
512,50,50000,39860756,36737434,0.9216441855744031,6,238867,0.005992535615731924,277,50,48223,33660,37664.5,39430,0.26409567078454105,0.06384515598165835,0.15708594340239293,0.275954680720849
1024,50,50000,40302406,37158591,0.9219943593442039,6,240548,0.005968576665125154,254,50,48273,34763,37814.0,39804,0.36626483258057096,0.008897383685513557,0.2410287266270306,0.0917604635236444
4096,50,50000,40292638,37158980,0.9222275295055141,6,243375,0.006040185306308314,259,50,48230,34388,38266.0,40121,0.46923485305240603,0.0005871794975753872,-0.05409937917171355,0.7090455158468681
8192,50,50000,39732807,36673045,0.9229915470105094,8,128586,0.0032362677019018567,269,50,41674,32225,38180.5,41537,0.09528383539489534,0.510398513316257,0.23255657114117734,0.10411999600748682
