ts,subset_size,replicate,alpha,xmin,ks,n_tail,tail_fraction,contributing_fibrils
2,10,0,1.9077494231746812,2,0.03231339615475348,272986,0.22525214268681001,10
2,10,1,3.11061122957687,32,0.02216069633400064,17257,0.012617025710013855,10
2,10,2,3.844291142506501,60,0.01404207276172309,4175,0.003110866050206025,10
2,10,3,2.821707452883496,32,0.02328121510310288,18333,0.013753085123142363,10
2,10,4,3.8333958398238783,43,0.02460720744356676,10486,0.007411203030634999,10
2,10,5,1.9302845231898733,2,0.033996161840070704,324928,0.23225052017775033,10
2,10,6,4.012860335857478,71,0.02077806966014617,2405,0.0016892200368889133,10
2,10,7,1.9341513603978302,2,0.034090796545540036,311307,0.23092260891431726,10
2,10,8,3.410463351591868,37,0.022684112821475366,13886,0.010311383586291191,10
2,10,9,1.9630194596566377,2,0.02786498020879158,298238,0.22701205857413184,10
2,10,10,3.671735744090082,39,0.02148905104080459,11222,0.008512439448807788,10
2,10,11,3.6143942713911135,58,0.022757226770203948,5236,0.003707737387957076,10
2,10,12,4.132151212440885,83,0.019594737331767975,1860,0.0014786936933713977,10
2,10,13,3.0043031872562325,26,0.021606459138446832,23816,0.016482425136667235,10
2,10,14,3.423459697255231,37,0.016326411618614478,13416,0.010728096802361845,10
2,10,15,1.949724717685082,2,0.025773256104686726,330434,0.23860565806937048,10
2,10,16,4.222821272670521,98,0.029272533770653864,1560,0.001323816563151566,10
2,10,17,1.9509192861552884,2,0.02664150331008508,316866,0.23319375041396517,10
2,10,18,3.2850959965081614,37,0.01844700475007638,14304,0.010295224783392905,10
2,10,19,3.946444046368178,73,0.01622216860840986,2537,0.0019303462296997882,10
2,10,20,3.682871481790561,38,0.01786092801890149,10791,0.008334897430015363,10
2,10,21,4.058809991640116,58,0.021858076841373378,6113,0.004614741203078809,10
2,10,22,3.2857658567113597,56,0.0192764249099584,5713,0.004243743764935371,10
2,10,23,4.214892481708193,71,0.024740708685405843,4370,0.0029184347572890745,10
2,10,24,4.2991177359684345,60,0.019982863670653273,6106,0.004305293692103107,10
2,10,25,3.4183963640721884,41,0.022228851802954225,11927,0.009192540839251926,10
2,10,26,3.1496468454385145,33,0.015940523473952473,16425,0.010796807694557818,10
2,10,27,4.476016573977605,71,0.017984284903546532,3264,0.0022692637129158926,10
2,10,28,4.326152893565242,96,0.02614534587650877,1686,0.0012451083709536747,10
2,10,29,1.96593217293452,2,0.025164428750166556,300462,0.23424165101609806,10
2,10,30,3.8838397204892496,72,0.016278345585395315,4173,0.003138946328004471,10
2,10,31,3.923852069942981,65,0.019363258863388078,4139,0.00297257816393923,10
2,10,32,3.901846505699075,65,0.017298872353850858,4039,0.0029537830582002764,10
2,10,33,3.0653817894790385,30,0.019001935057405883,19400,0.013596717163752834,10
2,10,34,4.316701624711926,71,0.021637905679248615,2711,0.0022047551469362363,10
2,10,35,1.973480652630825,2,0.02566790385840312,326801,0.22557087963400754,10
2,10,36,1.9354154963768408,2,0.030942387586887943,286731,0.22796865869220403,10
2,10,37,3.9645964041522186,67,0.016953397208620546,4201,0.003019193909004471,10
2,10,38,3.934354428728962,56,0.028112140774279037,6131,0.004408964342833473,10
