ts,seed,initial_backbone_size,preterminal_maximum_size,preterminal_q999_size,tail_events,tail_realizations
2,130,7722,226,85,146,146
2,145,9318,276,77,162,159
2,160,8536,269,75,126,120
2,175,11596,343,86,276,249
2,190,9687,288,86,288,270
2,205,12166,306,93,314,294
2,220,10234,153,68,147,141
2,235,11016,332,61,124,119
2,250,7865,213,90,446,414
2,265,11837,310,109,536,453
2,280,11323,200,85,379,360
2,295,8918,225,50,56,54
2,310,12075,283,124,667,570
2,325,11450,435,185,820,711
2,340,9506,256,81,221,200
2,355,11349,273,74,233,220
2,370,10049,147,55,59,59
2,385,9957,279,112,419,399
2,400,9837,291,176,654,552
2,415,10502,209,92,393,365
2,430,12804,396,166,986,733
2,445,10343,185,77,251,241
2,460,10669,260,96,342,315
2,475,10047,369,189,1071,804
2,490,9932,297,135,627,556
2,505,9081,203,74,229,225
2,520,11905,321,109,478,453
2,535,9825,356,82,201,194
2,550,7737,201,88,202,195
2,565,8712,231,76,158,153
2,580,9097,235,88,207,203
2,595,7377,177,99,249,239
2,610,9271,192,87,226,219
2,625,10719,314,147,574,525
2,640,10273,253,57,69,66
2,655,8535,234,71,117,116
2,670,9157,291,77,256,249
2,685,10173,269,118,614,544
2,700,12141,305,102,569,517
2,715,9743,203,68,102,99
2,730,9117,248,95,207,201
2,745,10690,197,72,206,202
2,760,8882,228,84,196,195
2,775,10033,227,101,389,371
2,790,8622,254,86,884,841
2,805,10741,311,60,80,78
2,820,8990,262,75,165,164
2,835,10996,291,95,372,336
2,850,9572,252,84,276,267
2,865,12462,272,53,62,62
8,880,16361,639,88,17931,1000
8,895,13936,258,69,24887,1000
8,910,15904,341,74,29270,1000
8,925,16240,284,81,26305,1000
8,940,15393,394,49,24562,1000
8,955,14355,336,73,23166,1000
8,970,15422,287,55,29076,1000
8,985,13729,204,54,18842,1000
8,1000,15003,338,66,23699,1000
8,1015,14734,405,84,20883,1000
8,1030,14241,233,87,24246,1000
8,1045,14908,237,46,23165,1000
8,1060,12570,220,49,27160,1000
8,1075,12514,403,74,13535,1000
8,1090,14273,220,99,16676,1000
8,1105,16139,279,70,26723,1000
8,1120,14129,167,45,26946,1000
8,1135,17449,306,65,34949,1000
8,1150,13571,249,83,24116,1000
8,1165,16571,321,78,25742,1000
8,1180,18070,375,59,26359,1000
8,1195,15153,374,95,23961,1000
8,1210,15564,226,47,31070,1000
8,1225,15157,214,75,17484,1000
8,1240,12927,483,109,16692,1000
8,1255,16242,253,60,22596,1000
8,1270,18160,299,48,25079,1000
8,1285,15334,404,110,26811,1000
8,1300,12895,366,116,24851,1000
8,1315,15749,261,57,27964,1000
8,1330,15043,258,52,32588,1000
8,1345,16526,175,45,18312,1000
8,1360,15386,302,53,25241,1000
8,1375,15325,307,53,16819,1000
8,1390,13567,233,52,21920,1000
8,1405,13868,267,51,25703,1000
8,1420,17379,576,90,22369,1000
8,1435,14744,354,56,29825,1000
8,1450,15786,316,97,25455,1000
8,1465,14825,255,37,27726,1000
8,1480,17113,189,101,19787,1000
8,1495,15305,377,110,25939,1000
8,1510,13811,413,111,20222,1000
