ts,omitted_seed,xmin,alpha,ks,n_tail
2,130,69,3.826783801380016,0.014127090519800573,16685
2,145,69,3.8244566582873465,0.014252931008476993,16669
2,160,69,3.8229481348778966,0.014821843138248525,16705
2,175,69,3.8300374941245674,0.014880467436284794,16555
2,190,68,3.800222479894296,0.015623358517910885,17209
2,205,70,3.8520432004399994,0.015187627258973158,15906
2,220,68,3.8077866504513653,0.01461366742625167,17365
2,235,69,3.8241735959867813,0.014578640316858849,16707
2,250,67,3.7776516583258744,0.015155581259849393,17725
2,265,70,3.835946148852344,0.014048039242733235,15693
2,280,67,3.786955308427489,0.014629851496112511,17800
2,295,69,3.8226629450741365,0.014245625058090627,16775
2,310,70,3.8388863238459985,0.013597544093342906,15564
2,325,67,3.833482677694003,0.015955714350647465,17350
2,340,69,3.814209698350188,0.014497133162613585,16610
2,355,68,3.8157247392449394,0.013998123675468654,17275
2,370,69,3.818371578023785,0.014443442761442715,16772
2,385,68,3.827509448658255,0.013462092895696803,17096
2,400,70,3.9025344666773254,0.01329392324349199,15564
2,415,68,3.806100866990836,0.014048461536807277,17113
2,430,70,3.895689886840784,0.013166430599286905,15244
2,445,69,3.8027945195581747,0.015170530632713897,16580
2,460,69,3.8167983412547977,0.014028225749490364,16489
2,475,67,3.9007152695076517,0.012930562602588624,17122
2,490,68,3.834629236011882,0.012948287913256862,16878
2,505,70,3.810044788899113,0.015661426237863263,16005
2,520,68,3.837457818310445,0.013726457849804585,17032
2,535,70,3.8289079884309993,0.015292827824480604,16019
2,550,68,3.811244797793692,0.013781611846101383,17313
2,565,68,3.814286961448147,0.014151464135684383,17357
2,580,69,3.8292606266063647,0.01398432199790467,16624
2,595,68,3.8088026101122607,0.013778454768348936,17269
2,610,68,3.814366446750923,0.013768072918706104,17278
2,625,69,3.857722588845697,0.016819287708708414,16257
2,640,69,3.8194675138821577,0.0145049227470615,16762
2,655,69,3.8165432428191273,0.014721979771243454,16714
2,670,68,3.799701249521584,0.01463983005723854,17258
2,685,67,3.800204838134006,0.013822442608030477,17565
2,700,68,3.8125092235712494,0.013351990384804502,16939
2,715,68,3.808730920034691,0.014384717657703688,17410
2,730,70,3.835416594862744,0.0142797360272362,16010
2,745,70,3.8162944263256877,0.015280730026501987,16016
2,760,70,3.8313599832490244,0.014339490542125355,16020
2,775,70,3.828234070917979,0.014020249866682155,15836
2,790,59,3.690995453274873,0.012421377210318746,24118
2,805,69,3.817082764338326,0.014640571298542404,16751
2,820,69,3.8146850636858742,0.014618711456286765,16666
2,835,71,3.8443065242669228,0.015567741052844641,15336
2,850,68,3.806716308594594,0.014533460157416744,17230
2,865,69,3.817922179964377,0.01468765856802734,16769
8,880,3,2.108536664853896,0.01926807580403267,1176956
8,895,3,2.1082031363160243,0.01946896113696417,1170000
8,910,3,2.1070557504153493,0.019597331039566845,1165617
8,925,3,2.1066572274377635,0.018957546004408465,1168582
8,940,3,2.1090603079461556,0.01889935916000418,1170325
8,955,3,2.1087354187750047,0.01937473102345011,1171721
8,970,3,2.1079994184666293,0.018984913860697894,1165811
8,985,3,2.1061170979234505,0.019404874123231997,1176045
8,1000,146,4.679880672672964,0.01925183759392396,1953
8,1015,3,2.10896613032533,0.019355310057004527,1174004
8,1030,3,2.1108529759564814,0.019871097069846355,1170641
8,1045,3,2.106937718851885,0.019484108267520894,1171722
8,1060,3,2.1051532210624453,0.019569481577686454,1167727
8,1075,3,2.1086644669174626,0.01879528931952512,1181352
8,1090,3,2.1052317047308398,0.019599454463635202,1178211
8,1105,3,2.105916775561572,0.019347093944532157,1168164
8,1120,3,2.1057371029861076,0.019636473048197156,1167941
8,1135,3,2.1047959598697252,0.019292587362617297,1159938
8,1150,3,2.1105948676192905,0.01862743177365178,1170771
8,1165,3,2.1071122791394328,0.019201358575972716,1169145
8,1180,3,2.1083456207264817,0.019016410939599493,1168528
8,1195,3,2.111330578089851,0.019094014192613917,1170926
8,1210,3,2.107494754153414,0.018508723195678867,1163817
8,1225,3,2.1103312822528024,0.018882858238235767,1177403
8,1240,3,2.1074444355071544,0.01972628904909024,1178195
8,1255,3,2.1087078982880363,0.018906095171290827,1172291
8,1270,3,2.106747518745722,0.019712575338353133,1169808
8,1285,150,4.8134926841992804,0.01970082786807259,1674
8,1300,118,4.484025426486211,0.01673255022121778,3654
8,1315,3,2.1068170120049037,0.019115328172552126,1166923
8,1330,3,2.1048650097596644,0.01902096542191367,1162299
