ts,population,events,xmin,alpha,ks,n_tail,replicates,exceedances,iid_clauset_p,monte_carlo_standard_error,seed
2,local_preterminal_s_ge_1,6796929,69,3.821578885887802,0.014358936759153007,16831,2500,0,0.0,0.0,314159
8,local_preterminal_s_ge_1,12890665,3,2.107989154109985,0.019257858136148664,1194887,2500,0,0.0,0.0,314160
16,local_preterminal_s_ge_1,18860218,3,2.2641345332191487,0.01422716940338753,1179950,2500,0,0.0,0.0,314161
32,local_preterminal_s_ge_1,26935855,4,2.433949072285173,0.007169173510596982,671260,2500,0,0.0,0.0,314162
64,local_preterminal_s_ge_1,35462519,6,2.5343002675046598,0.007670448157151344,296050,2500,0,0.0,0.0,314163
128,local_preterminal_s_ge_1,39404004,6,2.6447008354826154,0.004828205150342407,261887,2500,0,0.0,0.0,314164
512,local_preterminal_s_ge_1,39860756,6,2.711325723632484,0.003246846984761298,238867,2500,0,0.0,0.0,314165
1024,local_preterminal_s_ge_1,40302406,6,2.7155944165136225,0.004920628506313474,240548,2500,0,0.0,0.0,314166
4096,local_preterminal_s_ge_1,40292638,6,2.69723869383675,0.002897408907013732,243375,2500,0,0.0,0.0,314167
8192,local_preterminal_s_ge_1,39732807,8,2.6818362694400304,0.007479160282043096,128586,2500,0,0.0,0.0,314168
