ts,model,xmin,n_tail,log_likelihood,ks,aic_descriptive,bic_descriptive,alpha,lambda,mu,sigma
2,power_law,69,16831,-76481.3807582972,0.014358936759153007,152964.7615165944,152972.4924942975,3.821578885887802,,,
2,cutoff_power_law,69,16831,-76383.0847381404,0.021466343500779916,152770.1694762808,152785.63143168707,2.824627553029533,0.007007569439989597,,
2,lognormal,69,16831,-76411.43699558201,0.020374219905488766,152826.87399116403,152842.3359465703,,,1.8765967351954376,1.0315859933301461
2,exponential,69,16831,-76784.58232589465,0.07974373277177121,153571.1646517893,153578.8956294924,,0.028380325271176534,,
8,power_law,3,1194887,-3278683.814353848,0.019257858136148776,6557369.628707696,6557381.6222698735,2.107989154109985,,,
8,cutoff_power_law,3,1194887,-3269287.045782272,0.02519815279573423,6538578.091564544,6538602.0786889,1.9389756115368282,0.007437699900930008,,
8,lognormal,3,1194887,-3274095.4648278435,0.024015815057035317,6548194.929655687,6548218.916780043,,,-5.279282180055423,2.679845563331667
8,exponential,3,1194887,-3615177.6014465424,0.2422968794598086,7230357.202893085,7230369.196455263,,0.13201847117109897,,
16,power_law,3,1179950,-2955361.9538082657,0.01422716940338753,5910725.9076165315,5910737.888599155,2.2641345332191487,,,
16,cutoff_power_law,3,1179950,-2953320.965262967,0.02210356490390486,5906645.930525934,5906669.8924911795,2.1946441531970677,0.003218824726556581,,
16,lognormal,3,1179950,-2954700.9019781803,0.0179024648605296,5909405.803956361,5909429.765921606,,,-23.53065871131552,4.560309968250543
16,exponential,3,1179950,-3353190.281846325,0.2526855334744116,6706382.56369265,6706394.544675273,,0.1586970260731502,,
32,power_law,4,671260,-1751302.574041334,0.007169173510597093,3502607.148082668,3502618.5649944902,2.433949072285173,,,
32,cutoff_power_law,4,671260,-1750650.2260381656,0.010925707121023587,3501304.4520763312,3501327.285899976,2.3728461158399656,0.0026480410875069,,
32,lognormal,4,671260,-1751086.3783264915,0.009359510151580597,3502176.756652983,3502199.5904766275,,,-23.613206504703733,4.292012013109926
32,exponential,4,671260,-1938315.67767693,0.21990781304028217,3876633.35535386,3876644.7722656825,,0.15158310451455548,,
64,power_law,6,296050,-869531.3891573453,0.007670448157151344,1739064.7783146906,1739075.3765983286,2.5343002675046598,,,
64,cutoff_power_law,6,296050,-869018.1651146116,0.011845661707211907,1738040.3302292232,1738061.5267964993,2.4255169933583054,0.0037832619022811057,,
64,lognormal,6,296050,-869326.377914544,0.010898128211993818,1738656.755829088,1738677.952396364,,,-12.505338995103283,3.1804735041501964
64,exponential,6,296050,-930829.5652977361,0.18932801256853848,1861661.1305954722,1861671.7288791102,,0.1172331121039364,,
128,power_law,6,261887,-739735.8666903957,0.004828205150342352,1479473.7333807915,1479484.2090491834,2.6447008354826154,,,
128,cutoff_power_law,6,261887,-739551.6652650873,0.008890633863599284,1479107.3305301745,1479128.2818669586,2.57664828874285,0.0025167546931692073,,
128,lognormal,6,261887,-739693.333231105,0.007441065456555818,1479390.66646221,1479411.617798994,,,-30.255574265800437,4.497550047474308
128,exponential,6,261887,-794655.7883865461,0.18716052601469269,1589313.5767730922,1589324.052441484,,0.1308592624184921,,
512,power_law,6,238867,-659686.4331124937,0.003246846984761298,1319374.8662249874,1319385.2498871782,2.711325723632484,,,
512,cutoff_power_law,6,238867,-659544.6760689028,0.005789736130416168,1319093.3521378057,1319114.119462187,2.6443587946649156,0.0026515641445959337,,
512,lognormal,6,238867,-659636.1682944502,0.004995630264288009,1319276.3365889003,1319297.1039132816,,,-23.06126036943397,3.898220896236402
512,exponential,6,238867,-706236.3496808216,0.17625443027182286,1412474.6993616433,1412485.083023834,,0.1414546926500877,,
1024,power_law,6,240548,-663387.3026917918,0.004920628506313363,1326776.6053835836,1326786.9960585164,2.7155944165136225,,,
1024,cutoff_power_law,6,240548,-663241.8865766202,0.009910928296899824,1326487.7731532403,1326508.554503106,2.647346230769353,0.0027191461434009777,,
1024,lognormal,6,240548,-663353.2556311402,0.007835817117174015,1326710.5112622804,1326731.2926121461,,,-31.548113207052808,4.485883012358266
1024,exponential,6,240548,-709826.3845841567,0.18005413842233808,1419654.7691683134,1419665.1598432462,,0.14226992096099483,,
4096,power_law,6,243375,-675303.7408338661,0.002897408907013732,1350609.4816677321,1350619.8840264748,2.69723869383675,,,
4096,cutoff_power_law,6,243375,-675092.4242005235,0.006436527338308129,1350188.848401047,1350209.6531185324,2.6120469018815093,0.0034125346031388098,,
4096,lognormal,6,243375,-675222.5490551337,0.005624584403822186,1350449.0981102674,1350469.9028277528,,,-17.61655207722498,3.4792542343664152
4096,exponential,6,243375,-720593.4867665657,0.17423381273782357,1441188.9735331314,1441199.375891874,,0.14085703803484498,,
8192,power_law,8,128586,-397957.0753796241,0.007479160282043096,795916.1507592482,795925.9151124683,2.6818362694400304,,,
8192,cutoff_power_law,8,128586,-397818.71004383115,0.013315482576332416,795641.4200876623,795660.9487941026,2.5854523988060483,0.002840663138275237,,
8192,lognormal,8,128586,-397924.2484176558,0.011228620531646083,795852.4968353116,795872.025541752,,,-21.8426146213755,3.860844340673465
8192,exponential,8,128586,-421539.4948111214,0.1802917092278451,843080.9896222427,843090.7539754629,,0.10250627333374851,,
