ts,fibrils,events,xmin,alpha,ks,n_tail,tail_fraction,maximum_size,scaling_decades,block_gof_p,block_gof_exceedances,block_gof_replicates,alpha_ci_low,alpha_ci_high,xmin_ci_low,xmin_ci_high,cutoff_block_gof_p,lognormal_block_gof_p,exponential_block_gof_p,decision
2,50,6796929,69,3.821578885887802,0.014358936759153007,16831,0.002476265383969731,435,0.799640166217382,0.476,475,999,3.1863756860067816,4.200426243387853,35.0,74.0,0.015,0.02,0.005,pure_power_law_plausible
8,50,12890665,3,2.107989154109985,0.019257858136148664,1194887,0.09269397661020591,639,2.3283796034387376,0.001,0,999,2.0868738944273786,4.7216923065959495,3.0,135.0,0.005,0.005,0.005,pure_power_law_rejected;no_tested_model_plausible
16,50,18860218,3,2.2641345332191487,0.01422716940338753,1179950,0.06256290356771062,635,2.3256524705723134,0.002,1,999,2.2043654097986862,2.550454226864892,3.0,16.199999999999818,0.005,0.005,0.005,pure_power_law_rejected;no_tested_model_plausible
32,50,26935855,4,2.433949072285173,0.007169173510596982,671260,0.024920686571857475,598,2.1746411926604483,0.047,46,999,2.386821478306139,2.48281081520582,4.0,5.0,0.005,0.005,0.005,pure_power_law_rejected;no_tested_model_plausible
64,50,35462519,6,2.5343002675046598,0.007670448157151344,296050,0.00834825072635139,531,1.9469432706978254,0.098,97,999,2.482410839244152,3.64138406628161,1.0,7.0,0.005,0.005,0.005,pure_power_law_rejected;no_tested_model_plausible
128,50,39404004,6,2.6447008354826154,0.004828205150342407,261887,0.0066462027564508416,484,1.906694111260769,0.003,2,999,2.6019885681762136,2.6772675277156197,6.0,7.0,0.005,0.005,0.005,pure_power_law_rejected;no_tested_model_plausible
512,50,39860756,6,2.711325723632484,0.003246846984761298,238867,0.005992535615731924,401,1.8249931222365385,0.221,220,999,2.679837446767307,2.7506456189789166,5.0,7.0,0.01,0.005,0.005,pure_power_law_plausible
1024,50,40302406,6,2.7155944165136225,0.004920628506313474,240548,0.005968576665125154,436,1.8613352388849425,0.053,52,999,2.6624894599911606,2.776337397763356,5.0,8.0,0.005,0.005,0.005,pure_power_law_rejected;no_tested_model_plausible
4096,50,40292638,6,2.69723869383675,0.002897408907013732,243375,0.006040185306308314,406,1.8303747831935504,0.348,347,999,2.65108325831201,2.7485337434629282,5.0,6.0,0.005,0.005,0.005,pure_power_law_plausible_but_alternative_favored
8192,50,39732807,8,2.6818362694400304,0.007479160282043096,128586,0.0032362677019018567,489,1.7862188721316767,0.003,2,999,2.654950090696689,3.881784123944174,1.0,8.0,0.005,0.005,0.005,pure_power_law_rejected;no_tested_model_plausible
