ts,replicate,xmin,alpha,ks,n_tail,tail_fraction,centered_ks
64,0,6,2.5886379142350076,0.006914041920034308,290629,0.008154232609242768,0.003235939173519664
64,1,5,2.5994466221453423,0.006643211576598029,390085,0.011080130117144855,0.003297884620171887
64,2,5,2.5837170594016468,0.006792100828580672,400095,0.011246159786175814,0.004981422369613964
64,3,6,2.5128682012815724,0.010674850491756538,293078,0.008243723112187042,0.003004402334605194
64,4,6,2.482411764951216,0.009388804842429432,287423,0.00830507094965221,0.006015999032679131
64,5,6,2.526794460556234,0.009294340494068187,294052,0.00816798700308637,0.002545209226660683
64,6,5,2.5419772822181206,0.007780816116893796,410543,0.011715131985318268,0.004221623176564493
64,7,7,2.483701435949356,0.006314192744139024,221163,0.006250780595065901,0.004632667321395695
64,8,7,2.5014888561830073,0.007328280718278957,236710,0.006470818810485214,0.007157400973156092
64,9,5,2.544127686676572,0.010363617238515088,418089,0.011606734715032868,0.005514992708551381
64,10,6,2.513711293464952,0.007772788542484088,293187,0.00819868039575879,0.0033042788229126208
64,11,5,2.5338362379926433,0.010175730392575022,403432,0.011551218475283943,0.002794070592173181
64,12,5,2.560389438003708,0.010092341728027865,402170,0.011520845577412737,0.004719676812149187
64,13,6,2.5538959153209992,0.007936776808417423,278217,0.008015741008390632,0.005177424676807207
64,14,5,2.518468494934565,0.006142672635803259,412228,0.011820406146457501,0.003667955942945389
64,15,5,2.557823070646226,0.006616127075874723,421877,0.0118061788216724,0.003204341585841375
64,16,6,2.570807695977962,0.006500316384845384,301461,0.00850128240740088,0.004486298980917847
64,17,5,2.5696030658531965,0.00753400590666331,420785,0.01185517140982932,0.001528737342088915
64,18,5,2.5509741125270238,0.007474401022253163,391523,0.01147428752963284,0.0057073495766066795
64,19,5,2.52979623718787,0.007382209520426453,412668,0.011904015674018718,0.005878947079379748
64,20,1,3.6464192377266285,0.011174806739599474,35824886,1.0,0.005903229421529432
64,21,5,2.534271306967223,0.008040908605497,447191,0.012209442790715428,0.0032614526969270696
64,22,6,2.539140467358223,0.008352562566938726,282445,0.008110525169893313,0.0014621065039486236
64,23,6,2.4982066410811155,0.008861352532052669,292830,0.008494578661443191,0.004888918187270719
64,24,6,2.5234727661957645,0.008099000189755068,273408,0.007873111501997132,0.00205830329600154
64,25,5,2.533950401222628,0.009201401981372093,422641,0.011913982176821806,0.00482931770170647
64,26,5,2.570871044241118,0.008031377282872398,400418,0.01141291036853065,0.0022654592853302846
