ts,model,xmin,n_tail,log_likelihood,ks,aic,bic,block_gof_p,block_gof_exceedances,block_gof_replicates,alpha,lambda,mu,sigma,scale,beta
512,power_law,8,140741,-432059.64981343166,0.005479513871405439,864121.2996268633,864131.1543034641,,,,2.7085806387430034,,,,,
512,cutoff_power_law,8,140741,-431880.39783101226,0.004292716007140207,863764.7956620245,863784.5050152261,,,,2.595919675230836,0.00346981734676852,,,,
512,lognormal,8,140741,-431968.0851344808,0.004058245306982122,863940.1702689616,863959.8796221631,,,,,,-11.07900469831575,2.8883581769957845,,
512,stretched_cutoff_power_law,8,140741,-431781.5971639855,0.0019193712691430997,863569.194327971,863598.7583577733,0.7,139,199,2.6741426938329083,,,,272.90258756011957,4.005489190690225
1024,power_law,8,140571,-433017.5422457899,0.006739065047470905,866037.0844915798,866046.937959558,,,,2.697238837549186,,,,,
1024,cutoff_power_law,8,140571,-432780.7931797774,0.008161668378246223,865565.5863595548,865585.2932955112,,,,2.56226991596958,0.004205936032917271,,,,
1024,lognormal,8,140571,-432903.5226531166,0.008157455723982188,865811.0453062332,865830.7522421896,,,,,,-9.612519361088486,2.7449105300676626,,
1024,stretched_cutoff_power_law,8,140571,-432668.2895286686,0.005027957103132086,865342.5790573373,865372.1394612718,0.07,13,199,2.6490903589956094,,,,241.717992689095,3.1660418918623456
4096,power_law,8,144185,-444159.83317072026,0.004858623621580738,888321.6663414405,888331.5451939168,,,,2.6971670047523997,,,,,
4096,cutoff_power_law,8,144185,-443900.299288776,0.005626453130524678,887804.598577552,887824.3562825045,,,,2.5557017674342966,0.004434505110679615,,,,
4096,lognormal,8,144185,-444024.81700509397,0.0063355066367536406,888053.6340101879,888073.3917151404,,,,,,-8.601299584356408,2.6336470659443805,,
4096,stretched_cutoff_power_law,8,144185,-443791.19144190726,0.0032926289857867497,887588.3828838145,887618.0194412433,0.305,60,199,2.648778833054324,,,,238.15919916495423,3.2544656438559647
8192,power_law,8,128586,-397957.0753796241,0.007479160282043096,795916.1507592482,795925.9151124683,,,,2.6818362694400304,,,,,
8192,cutoff_power_law,8,128586,-397818.71004383115,0.013315482576332416,795641.4200876623,795660.9487941026,,,,2.5854523988060483,0.002840663138275237,,,,
8192,lognormal,8,128586,-397924.2484176558,0.011228620531646083,795852.4968353116,795872.025541752,,,,,,-21.8426146213755,3.860844340673465,,
8192,stretched_cutoff_power_law,8,128586,-397685.97499560483,0.011259083954519522,795377.9499912097,795407.2430508701,0.005,0,199,2.6445488460120696,,,,277.1936172730918,3.6794041544619422
