ts,model,xmin,n_tail,log_likelihood,ks,aic,bic,block_gof_p,block_gof_exceedances,block_gof_replicates,alpha,lambda,mu,sigma,scale,beta
512,power_law,29,14681,-62657.02039516867,0.027792723148885923,125316.04079033734,125323.63509975708,,,,2.8593739899332635,,,,,
512,cutoff_power_law,29,14681,-62460.309364775174,0.012654241864231974,124924.61872955035,124939.80734838983,,,,2.103569806169225,0.008831472849287128,,,,
512,lognormal,29,14681,-62498.09980487809,0.014443777248372591,125000.19960975618,125015.38822859566,,,,,,1.8221145488956203,1.1536334165193307,,
512,stretched_cutoff_power_law,29,14681,-62430.31453996926,0.0044496686810854835,124866.62907993852,124889.41200819773,0.645,128,199,2.5913013780776124,,,,256.1303962997642,3.2343354473881174
1024,power_law,29,15027,-63658.7338723134,0.034508060093106696,127319.4677446268,127327.08534848884,,,,2.898141685878261,,,,,
1024,cutoff_power_law,29,15027,-63418.62633347226,0.011395398139433854,126841.25266694452,126856.48787466857,,,,1.993582483143825,0.0110575084100458,,,,
1024,lognormal,29,15027,-63460.217310513974,0.015157540934726432,126924.43462102795,126939.669828752,,,,,,2.1453264837245447,1.0571242258485867,,
1024,stretched_cutoff_power_law,29,15027,-63396.28092264219,0.006451376945891013,126798.56184528438,126821.41465687046,0.205,40,199,2.5064720282339845,,,,211.86844885043408,2.4282817551025278
4096,power_law,29,15642,-65888.77574522288,0.034805484674861664,131779.55149044577,131787.20920532892,,,,2.928296919396945,,,,,
4096,cutoff_power_law,29,15642,-65654.51998780153,0.007735729083824916,131313.03997560305,131328.35540536937,,,,2.03937291241484,0.0109967935308051,,,,
4096,lognormal,29,15642,-65686.03913775511,0.010617163559075382,131376.07827551023,131391.39370527654,,,,,,2.1382361812391055,1.0472971793842678,,
4096,stretched_cutoff_power_law,29,15642,-65638.42264450024,0.0041109736314054734,131282.84528900048,131305.81843364998,0.655,130,199,2.558983357014725,,,,215.31289885966564,2.465025811266055
8192,power_law,29,14597,-62458.33872504879,0.03365576084559485,124918.67745009757,124926.2660214047,,,,2.8461944132136305,,,,,
8192,cutoff_power_law,29,14597,-62233.70230219046,0.008888834384337907,124471.40460438092,124486.58174699519,,,,2.0171141227523774,0.00975216245959689,,,,
8192,lognormal,29,14597,-62266.85527893885,0.010895435717746427,124537.7105578777,124552.88770049196,,,,,,2.10141217318357,1.0894584777666338,,
8192,stretched_cutoff_power_law,29,14597,-62218.134176906475,0.0037833452443957194,124442.26835381295,124465.03406773435,0.81,161,199,2.4838539966878446,,,,231.81058573954533,2.3585301305481496
