replicate,xmin,gof_xmin,alpha,beta,maximum_centered_ks,scale_ts_512,centered_ks_ts_512,scale_ts_1024,centered_ks_ts_1024,scale_ts_4096,centered_ks_ts_4096,scale_ts_8192,centered_ks_ts_8192
0,29,29,2.5251061688389767,2.6225940634255154,0.012864613393332724,233.23528142575364,0.00882367154890823,220.63728124542382,0.004226760848152988,199.698838401411,0.012864613393332724,265.64845131954013,0.008262114784363672
1,29,29,2.570096537025237,2.958296468051181,0.018300719587063696,258.21094727207185,0.005617061042333948,222.60749893383718,0.018300719587063696,217.32793831257305,0.01706086432402798,239.95092068389815,0.011792133455075626
2,29,29,2.56315485403152,2.6258813762620936,0.011039711898592874,251.9140548197776,0.005187187700927409,215.20875084069095,0.011039711898592874,220.71351467746697,0.006335912499577656,267.0266432092777,0.007812330445455373
3,29,29,2.543057616552307,2.746045149254212,0.01995652074951887,242.8103724331238,0.01995652074951887,218.32856067811971,0.008145699450378963,208.27570805651789,0.0063048134018825475,225.91600326801026,0.012048959439626583
4,29,29,2.5640576351476483,2.585227635083981,0.009347749580378428,241.48996459864722,0.006519737176109097,232.53564166370083,0.009101726755873951,219.919175927004,0.009347749580378428,236.89615517294106,0.004572330662317214
5,29,29,2.526472251538145,2.6292244256453605,0.009085283769134533,234.17841007851177,0.007437307716618657,205.0361474044683,0.008561593151026337,204.5571263819453,0.00895731210056494,256.6305993941659,0.009085283769134533
6,29,29,2.4816341936190005,2.410612405168451,0.014063006879791007,241.2920556776731,0.008848675423577479,211.20389515985954,0.006779439167789336,176.42195203861462,0.007169357647382357,221.95211463320237,0.014063006879791007
7,29,29,2.3878245515935443,2.011074441858391,0.018787503691380825,211.36535609141131,0.005709358376492446,193.7295936780309,0.00668166174303797,173.75674363053727,0.018787503691380825,216.84945799527836,0.009899862571195406
8,29,29,2.5348630293673318,2.5164604432059696,0.01076783136546472,243.00618581781413,0.004092871783378346,228.6848510145853,0.00682446152836147,202.3613006582379,0.01076783136546472,251.81239845914942,0.008530484040426112
9,29,29,2.481079302479335,2.264198399624037,0.010503317125444944,226.6585713240231,0.010503317125444944,212.74088399734651,0.004742310318258003,193.10366202897708,0.008835408687167201,254.63187048253235,0.007262246112899051
10,29,29,2.5249882033961413,2.6042186523497595,0.022357164739368773,248.53701696203552,0.011812011254554888,200.3868611811213,0.022357164739368773,229.5791297862246,0.007041095519115581,221.6666523035985,0.00461839401264158
11,29,29,2.510704204982564,2.3503683352147657,0.0048818080200139224,244.83490972593302,0.004793487897593374,212.18958966179656,0.004738237715461946,186.94486850112284,0.0048818080200139224,244.29932286168776,0.003803890960451861
12,29,29,2.5365223620784008,2.352933042356521,0.011582308559452081,232.55723997829895,0.005543447752020647,186.56029132537478,0.011262949986871607,227.0276808552285,0.011582308559452081,249.2813635970756,0.008872884585190421
13,29,29,2.581757482204364,2.7729746729565137,0.01349921408986876,236.196154910925,0.012332686298381357,225.7774207136351,0.007246517555887566,223.6643239871477,0.006239117362094926,261.9806296330326,0.01349921408986876
14,29,29,2.522851752531528,2.538121439651401,0.025046190708701288,245.81189436888198,0.015800753275521773,228.43469951987908,0.007866375286178784,226.81911722036347,0.005554470153128932,239.49174062315797,0.025046190708701288
15,29,29,2.5721682670591877,2.4889892497230997,0.014734654749220755,243.27477036070633,0.010731032539572805,235.16752994329602,0.01246094382505969,220.47121443130192,0.007129591634034815,239.15844230137228,0.014734654749220755
16,29,29,2.493508691620323,2.442812584990235,0.011169601418654529,229.2502294070778,0.0072725957965228405,212.78086096081842,0.011169601418654529,207.48806137638726,0.008310062439052301,205.34091478204428,0.01009895274665823
17,29,29,2.5580881408180582,2.629778653533643,0.015765227842182927,249.48343357382103,0.006799719673517779,236.0334637591781,0.012644747347917429,203.44622850564622,0.004456229939610257,230.81274458838226,0.015765227842182927
18,29,29,2.5052371227448473,2.436600537004346,0.011789250989569622,243.75791109534478,0.00688398599460921,207.58420794234755,0.01051196019048195,216.03304958411908,0.011789250989569622,227.13692654573703,0.009222607836931407
19,29,29,2.5270325802995646,2.5797326525747755,0.015191032453832687,253.39972033934714,0.014609466913870772,229.92255406520164,0.015191032453832687,195.5868940853066,0.0053315859446079195,234.6076199570617,0.0069290145982146
20,29,29,2.489802877909672,2.702576652804335,0.008397994195975478,248.76751908202536,0.0046022320313298115,208.7347687516652,0.008240040480495814,218.9121959484595,0.008397994195975478,239.50491081395512,0.007973409146803112
21,29,29,2.529281833044014,2.530421912170233,0.016780176227837784,240.04129232681993,0.016780176227837784,218.36577278377374,0.01582197688388698,222.16206613309626,0.008738389064338103,259.98225626391985,0.007315363045826501
22,29,29,2.485608267475035,2.4392330261204473,0.01828377680449178,220.9566105272047,0.0042371384447739135,205.56268699260775,0.006564221057690556,193.5474601612396,0.01718257988659977,261.1939635600926,0.01828377680449178
23,29,29,2.569101583170901,2.5723862368017625,0.010955432543344856,253.19099127756127,0.010955432543344856,214.93269885634976,0.007201061509450268,219.66069107816014,0.009013302095864595,234.61160757933564,0.006134074676752199
24,29,29,2.5199795101263325,2.8619156099234933,0.012471038576176707,267.4952235347925,0.00781950511766999,222.94937218425588,0.010870762086563457,209.24547694527456,0.012471038576176707,252.6074395669797,0.003512669915653688
25,29,29,2.5089795083074895,2.4849195921220875,0.009711634498980382,230.446009685817,0.003232785884676792,219.71606848749417,0.009711634498980382,190.5491798820351,0.004520884802521774,236.56272472764013,0.00943151374650053
26,29,29,2.6382640895165395,2.9067135208659094,0.015290728387768904,256.0333082788342,0.007403304668127553,248.12104761207232,0.010493697595244433,239.39501209601477,0.004758216336402277,247.95368316971255,0.015290728387768904
27,29,29,2.52923492246643,2.469856956046423,0.009362118975277112,245.69639968077587,0.009362118975277112,214.19402536879696,0.007831381125819326,217.59326006190201,0.006234055824089313,257.4826597446473,0.006411889538143312
28,29,29,2.5417141643439267,2.5711894852670687,0.014103911011107417,238.61431844944002,0.010695178955832496,207.6209211598149,0.00895185934157583,210.6139576867068,0.014103911011107417,237.12400635748,0.008575496297638319
29,29,29,2.507615346621799,2.5903307597726184,0.01768784907236781,237.13318399483214,0.00786380136714826,204.88697850601685,0.008654576995812735,200.43591156888743,0.01768784907236781,247.98692756898595,0.00666415063736342
30,29,29,2.537346662942061,2.6222316449235517,0.007774899882443953,243.24072248405636,0.007774899882443953,194.73881061064333,0.005648304508847568,208.8023301869635,0.004237053396545676,265.0023245469684,0.006951692335331994
31,29,29,2.521179544212277,2.7037834187961245,0.017972975098484945,243.0012690957885,0.017972975098484945,204.11357933746632,0.011527040320473858,227.6588235450995,0.009920646079994877,229.48418662718873,0.007050094161777265
32,29,29,2.5624182451870796,2.722699235195303,0.012858182189250833,249.3777085585732,0.0035155644637215877,239.0042037989098,0.009613932056790286,219.71560884849399,0.012858182189250833,260.15578663568806,0.006133720594529379
33,29,29,2.4747906754089377,2.4390656515568323,0.011686000713044653,207.40239289283898,0.003799179764499172,208.93167417383543,0.006283193712310009,196.46975147999316,0.011297847670803995,234.5833284456695,0.011686000713044653
34,29,29,2.4936191566387724,2.2328236745982157,0.008450458844388165,233.14041679339516,0.005379807677569126,204.89166247010417,0.008450458844388165,188.4967659000825,0.0033228640241632634,247.36378807393655,0.007020831469488509
35,29,29,2.4560047623248455,2.310011694019063,0.007459152406447456,211.58171423783335,0.002701843676789939,211.2297718090861,0.005695476322515325,196.55227364507462,0.0071190048082955815,216.09144445754575,0.007459152406447456
36,29,29,2.5133023540079127,2.5096299579751977,0.02098354763721111,237.5235619210385,0.008967511541753848,195.57496207922236,0.012026788684589729,204.06665610359684,0.02098354763721111,251.99733797911298,0.004452117228857522
37,29,29,2.582101483629383,2.867276971599381,0.01813709115463258,243.31268333434534,0.008349527743970242,240.4262779673952,0.008804862024285875,227.28064250758257,0.01813709115463258,253.73612199723416,0.009652890521976154
38,29,29,2.505943706481243,2.4550581073005273,0.011968204987240272,222.9402278743504,0.006133419277841279,227.154064378385,0.011134658774240358,213.93361697791963,0.008862006159328306,234.4171772210462,0.011968204987240272
39,29,29,2.510106325477369,2.390883114777267,0.012648128583216262,243.30417566991625,0.007794408081392645,198.03643403975025,0.012648128583216262,214.2499710096222,0.0076988401356234415,243.36090955808658,0.007031213842362327
40,29,29,2.499001513090069,2.273584816078906,0.011520369505651384,236.28674638944096,0.004864755676445731,199.79634126218713,0.0099711443886355,179.6725786466592,0.00651482121639102,229.38570517319232,0.011520369505651384
41,29,29,2.5405028973659656,2.5275969015781277,0.014475957929818095,256.28102112600095,0.010620810194217012,218.2142091555872,0.005870055943378971,225.41814413423944,0.014475957929818095,242.04408206678698,0.006111516557573249
42,29,29,2.5421627689787405,2.4573716902344103,0.022802036672401882,239.5177837125216,0.008418508246473166,224.4709465016182,0.022802036672401882,213.00887231299197,0.01986688298769007,262.51996589783573,0.010181472333820163
43,29,29,2.6237295840093457,2.8307092291448046,0.009248143881732451,253.63711915532573,0.009248143881732451,217.86472044723055,0.007265432881338685,224.71246173675863,0.006732642529970412,264.5403497180588,0.008401135750058741
44,29,29,2.5867358553710007,2.5884872436693067,0.011394426403798397,257.6608038269996,0.011394426403798397,227.18874268268598,0.005661401557073065,204.36970161374498,0.003944231220288974,255.60062216830616,0.0109898015093845
