alpha,exceedances,lambda,model,monte_carlo_standard_error,mu,n_tail,observed_ks,p_value,replicates,seed,sigma,status,ts,xmin
1.6965958359183952,0,0.0015512759965547027,cutoff_power_law,0.0,,1011943,0.020521307577274772,0.0,2500,213738,,,2,3
,0,,lognormal,0.0,-6.8266321002239145,1011943,0.02079518343724618,0.0,2500,214738,3.56160272371477,,2,3
,0,0.04779882097149064,exponential,0.0,,1011943,0.3511278544083166,0.0,2500,215738,,,2,3
1.8618307990313359,0,0.00015459094145476129,cutoff_power_law,0.0,,871697,0.032961000326194534,0.0,2500,813738,,,8,4
,,,lognormal,,-614636.2295340968,871697,0.030779610354790266,,0,814738,835.7939990628582,not_testable_nonfinite_mle_limit,8,4
,0,0.03035371698110314,exponential,0.0,,871697,0.444994689952677,0.0,2500,815738,,completed,8,4
-34.39754035559339,0,0.05023638331927386,cutoff_power_law,0.0,,6430,0.016554385041730707,0.0,2500,1613738,,completed,16,787
,0,,lognormal,0.0,6.586353353177397,6430,0.017161127455521424,0.0,2500,1614738,0.14727001016151756,completed,16,787
,0,0.0127171813297754,exponential,0.0,,6430,0.03494575128798205,0.0,2500,1615738,,completed,16,787
-226.07800418348762,1135,0.21309803345270906,cutoff_power_law,0.00995759006989141,,1256,0.016000103916237296,0.454,2500,3213738,,completed,32,1177
,1055,,lognormal,0.009877570551507087,6.982357740109473,1256,0.016071619152986716,0.422,2500,3214738,0.06139059507951867,completed,32,1177
,14,0.03008826391556578,exponential,0.0014924664150325125,,1256,0.036491941940824946,0.0056,2500,3215738,,completed,32,1177
-190.17919851779394,265,0.15660635641982573,cutoff_power_law,0.006156752390668314,,1009,0.02360171579710435,0.106,2500,6413738,,completed,64,1411
,248,,lognormal,0.005978607195660207,7.124643527401863,1009,0.023553875289481274,0.0992,2500,6414738,0.06561019346660983,completed,64,1411
,344,0.02775014779733441,exponential,0.006889593311654905,,1009,0.02732775734025117,0.1376,2500,6415738,,completed,64,1411
-530.7666220289348,1958,0.36557592311141923,cutoff_power_law,0.008241304751069456,,1684,0.011608486724001166,0.7832,2500,12813738,,completed,128,1490
,1666,,lognormal,0.009429974337186715,7.284609741700416,1684,0.011828477997202547,0.6664,2500,12814738,0.04186681448339403,completed,128,1490
,0,0.024623646961044524,exponential,0.0,,1684,0.052987108053964005,0.0,2500,12815738,,completed,128,1490
-431.8993969998028,840,0.2831858709715146,cutoff_power_law,0.009446777228240328,,1941,0.014625736728151373,0.336,2500,51213738,,completed,512,1593
,569,,lognormal,0.008385660140978765,7.335722010536228,1941,0.014856348874325964,0.2276,2500,51214738,0.04596031937590142,completed,512,1593
,0,0.023666208567710165,exponential,0.0,,1941,0.04421548222842242,0.0,2500,51215738,,completed,512,1593
-670.2948082970438,2272,0.4338856071367017,cutoff_power_law,0.00575786627145855,,1009,0.01268869135018258,0.9088,2500,102413738,,completed,1024,1605
,2127,,lognormal,0.007125710069880755,7.346676377686932,1009,0.012849867529994452,0.8508,2500,102414738,0.03718863541379301,completed,1024,1605
,7,0.030317643421241783,exponential,0.0010568178651025918,,1009,0.04151138467856691,0.0028,2500,102415738,,completed,1024,1605
-477.1929170288279,150,0.3060475780792639,cutoff_power_law,0.004749736834815167,,1623,0.0213582982428141,0.06,2500,409613738,,completed,4096,1618
,65,,lognormal,0.0031827032535252167,7.356852660380205,1623,0.021473017350087942,0.026,2500,409614738,0.043937657964666685,completed,4096,1618
,1,0.023534592095701856,exponential,0.0003999199919983996,,1623,0.04077729333986799,0.0004,2500,409615738,,completed,4096,1618
-611.2666672691234,709,0.3782492053119608,cutoff_power_law,0.009014899666662963,,2097,0.015097045015994154,0.2836,2500,819213738,,completed,8192,1659
,331,,lognormal,0.006778502489488368,7.391300731607576,2097,0.015331443634006792,0.1324,2500,819214738,0.03908804478344522,completed,8192,1659
,0,0.024296070228529174,exponential,0.0,,2097,0.05032916015918054,0.0,2500,819215738,,completed,8192,1659
