ts,n_events_s_ge_2,total_avalanche_size,q50,q90,q99,q999,q99_over_q90,q999_over_q90,characteristic_size_s2_over_s1,small_maximum,large_minimum,small_fraction,large_fraction,explained_log_variance,small_geometric_mean,large_geometric_mean,small_median,large_q25,large_median,large_q75,large_q90,large_q99,top_0p1_actual_event_fraction,top_0p1_size_share,top_0p01_actual_event_fraction,top_0p01_size_share,top_0p001_actual_event_fraction,top_0p001_size_share,top_0p0001_actual_event_fraction,top_0p0001_size_share
2,1608970,24898820,3,27,270,376,10.0,13.925925925925926,140.56437975775557,9,10,0.7687787839425222,0.23122121605747775,0.707211137927798,2.9960170020641113,30.226018513194965,3,14,23,46,189,344,0.1,0.6963219140505453,0.010000186454688403,0.2063617071009791,0.0010000186454688404,0.0263222112533847,0.00010006401610968507,0.003034521314664711
8,2339395,35079713,3,15,424,604,28.266666666666666,40.266666666666666,276.80417354041634,9,10,0.8508020236001188,0.14919797639988117,0.6706901726165859,2.791206057556408,32.284842233119704,2,13,22,46,359,583,0.10000021373047305,0.7840616027844926,0.010000021373047304,0.3406485395134219,0.0010002586138723902,0.04282121692386708,0.00010002586138723901,0.004718681706432433
16,2628781,45049563,2,10,625,864,62.5,86.4,478.8046854305779,11,12,0.9088988394240525,0.09110116057594755,0.6429874548334125,2.7404027062864507,47.21856743264233,2,16,25,85,640,871,0.10000034236400826,0.8414966422648761,0.010000072276846189,0.43006343923913315,0.0010000833085753436,0.05433386778912817,0.00010004637130289667,0.006135797588092031
32,2942402,56310547,2,7,861,1135,123.0,162.14285714285714,733.6041884480362,24,25,0.9680757421997402,0.03192425780025979,0.6422829529852709,2.7480236443749115,217.4154467626389,2,40,640,908,1039,1187,0.10000027188671025,0.8760393856589601,0.01000033306122005,0.5214948453617402,0.0010002032353159085,0.061552234610684924,0.00010025822440305574,0.00656658511948037
64,3248735,67692216,2,6,1077,1353,179.5,225.5,963.6814850617388,39,40,0.9800971762855388,0.019902823714461167,0.677468434932392,2.6481691236850304,587.6587500710756,2,799,1079,1215,1307,1428,0.10000015390605882,0.8938107891164325,0.010000200077876466,0.5872645238855824,0.0010000815702111746,0.06711662386706324,0.00010003893823288141,0.0071332573895941005
128,3356491,72202487,2,5,1165,1450,233.0,290.0,1063.8288116169738,45,46,0.9825719776993295,0.017428022300670552,0.7063053032838534,2.585509840873648,810.786252634972,2,1041,1204,1323,1412,1537,0.10000026813717064,0.8999344717862696,0.010000026813717063,0.6116697753084323,0.0010001516464665033,0.06970694790610191,0.00010010454370352848,0.007373250176271629
512,3173322,76484566,2,5,1284,1565,256.8,313.0,1178.239218328048,50,51,0.9825328157684596,0.017467184231540322,0.7307367890908998,2.569222765267878,1003.6003923917763,2,1167,1322,1444,1529,1650,0.1000002521017407,0.9112532324495376,0.010000245799197182,0.5952319583012342,0.0010002136562252428,0.0669169123611161,0.0001002104419280489,0.0070622614240891425
1024,3193815,76933409,2,5,1298,1546,259.6,309.2,1180.3026077656327,51,52,0.9826943639503227,0.01730563604967727,0.7294262411413694,2.5714020952453955,1017.9897830417652,2,1201,1331,1432,1512,1626,0.1000001565525868,0.9111224617643032,0.010000266139397555,0.5924713670233955,0.0010000579244571148,0.0661210788150568,0.00010019365554986748,0.006952987095632276
4096,3183658,77843020,2,5,1321,1580,264.2,316.0,1200.8900614852814,51,52,0.9826017744368271,0.017398225563172928,0.727227761796402,2.5772672224285174,1021.8326237957297,2,1206,1356,1461,1542,1667,0.10000006282081807,0.912288333623233,0.010000131923717938,0.5954678531228619,0.0010001074235988915,0.06663797216500593,0.00010019920481408493,0.007045281645033813
8192,3109762,77620955,2,5,1311,1632,262.2,326.4,1214.945489719883,51,52,0.9822324023510481,0.017767597648951913,0.742882410207095,2.55192024030386,1031.573977463365,2,1180,1345,1482,1586,1717,0.10000025725441368,0.9147833854917142,0.010000122195846499,0.5915570994971654,0.0010000765331880704,0.06738149511301426,0.00010000765331880703,0.0070622295229426126
