ts_first,ts_second,adjacent,population,total_variation,jensen_shannon,kolmogorov_smirnov,wasserstein
2,8,True,all,0.05654334539958241,0.08945083981763838,0.05420555921610892,1.8547190542417626
2,8,True,nontrivial,0.12296126141785935,0.15281805571108906,0.10934967820571628,6.65097864658812
2,16,False,all,0.09843224136466552,0.14091793320682253,0.09597011231855646,2.8713241358548824
2,16,False,nontrivial,0.1913574326304956,0.22545254410510457,0.1734295603152266,11.857187839633148
2,32,False,all,0.12778610686763686,0.17967798312688818,0.12594892434702354,3.506070265552051
2,32,False,nontrivial,0.25371055445636,0.28475897548632684,0.236839841747994,16.833297236219142
2,64,False,all,0.14490986001272968,0.20296269571362713,0.14350249716133634,3.802513153303818
2,64,False,nontrivial,0.29207649346224707,0.32256529851174237,0.27669204971401073,20.3012757113709
2,128,False,all,0.1511775754829618,0.21247762223947222,0.14991037836907695,3.8900540196697837
2,128,False,nontrivial,0.30993704004351375,0.34207609018471186,0.2950417222845805,21.686643648368324
2,512,False,all,0.15672624776593488,0.21896504169695294,0.1554734526547623,4.0286886053043585
2,512,False,nontrivial,0.3146925009302476,0.348739618391595,0.2989361421365292,24.0380007177992
2,1024,False,all,0.15707491325584588,0.219232803416124,0.15583582976724297,4.029220494523908
2,1024,False,nontrivial,0.31391942481836904,0.3483512608331416,0.2982641661387022,24.07107968323095
2,4096,False,all,0.15730781783271092,0.21918188238805106,0.15606843432982742,4.050513707481773
2,4096,False,nontrivial,0.31278587023882726,0.3466490383259615,0.2970806657225129,24.375460296578407
2,8192,False,all,0.15807220638212066,0.2211354538817176,0.15681540718240605,4.073492819332004
2,8192,False,nontrivial,0.31908900776319293,0.35374638959173255,0.30301092847609634,24.816615150271343
8,16,True,all,0.043276024466321394,0.06677009879776064,0.04176455310244753,1.154901618500085
8,16,True,nontrivial,0.0760520229452558,0.11568250256471649,0.06426938390898618,5.368917745683689
8,32,False,all,0.07341093061180844,0.11137561137348201,0.07174336513091462,1.9746350205968972
8,32,False,nontrivial,0.14410274389347705,0.18916058442320569,0.12857552215690127,10.696933088269539
8,64,False,all,0.09068610274454401,0.13658597164989122,0.08929693794522742,2.400345764493496
