ts,population,minimum_size,n_events,mode,maximum,mean,standard_deviation,coefficient_of_variation,gini,q50,q75,q90,q95,q99,q999,n_total,n_singleton,singleton_fraction,nontrivial_fraction,probability_s_ge_2,probability_s_ge_5,probability_s_ge_10,probability_s_ge_50,probability_s_ge_100,probability_s_ge_500,probability_s_ge_1000
2,all,1,6847150,1,546,4.40139328041594,22.193193911640225,5.042311036005155,0.7366786210678916,1,1,4,11,66,317,6847150,5238180,0.7650161015897126,0.2349838984102875,0.2349838984102875,0.09311640609596694,0.05433326274435349,0.012594583147732999,0.008042762317168457,2.0446463126994444e-06,0.0
2,nontrivial,2,1608970,2,546,15.475005749019559,43.99725880013945,2.843117444588152,0.7493260788501073,3,9,27,54,270,376,6847150,5238180,0.7650161015897126,0.2349838984102875,1.0,0.3962671771381691,0.23122121605747775,0.053597643212738584,0.03422686563453638,8.701218792146528e-06,0.0
8,all,1,12940682,1,795,3.5300303337953904,27.179427180431176,7.699488279243372,0.6977650476323121,1,1,2,5,31,488,12940682,10601287,0.8192216608058215,0.1807783391941785,0.1807783391941785,0.05270155004195297,0.026971762384702752,0.00630283628018987,0.004354330011354888,0.0008789335832531856,0.0
8,nontrivial,2,2339395,2,795,14.995207307872334,62.65684099694739,4.1784578039180005,0.7967998322834439,3,5,15,34,424,604,12940682,10601287,0.8192216608058215,0.1807783391941785,1.0,0.2915258004740542,0.14919797639988117,0.03486499714669818,0.024086569390804034,0.004861940800933575,0.0
16,all,1,18910218,1,1137,3.2432730283701647,33.63022829362293,10.369225162188414,0.6810980423169113,1,1,2,3,15,674,18910218,16281437,0.860986213908269,0.13901378609173093,0.13901378609173093,0.032305233075578504,0.015096282866754894,0.003985358603480933,0.003013608833065806,0.0022624276462598156,1.7821053147034053e-05
16,nontrivial,2,2628781,2,1137,17.13705439897808,88.94730635177137,5.19034976962409,0.838116870810557,2,4,10,23,625,864,18910218,16281437,0.860986213908269,0.13901378609173093,1.0,0.2323887003139478,0.10859558099362404,0.02866880124285743,0.021678489003077853,0.016274843739360563,0.00012819630087101207
32,all,1,26985855,1,1353,2.977634023454139,39.023246624694586,13.105454302750921,0.6578641617083849,1,1,2,2,8,880,26985855,24043453,0.8909650259367361,0.10903497406326389,0.10903497406326389,0.01914028664276155,0.007945644116148997,0.002392364444261633,0.0020063103429555965,0.0018362212351619024,0.0004849577676897767
32,nontrivial,2,2942402,2,1353,19.13761171994853,116.93239043268959,6.1100827074886475,0.86531315148255,2,3,7,14,861,1135,26985855,24043453,0.8909650259367361,0.10903497406326389,1.0,0.175542634894892,0.0728724355135702,0.021941257516817893,0.018400612832644894,0.016840662832610907,0.004447726721229798
64,all,1,35512519,1,1595,2.8146693846189845,42.77742833470535,15.198029498052763,0.6402917365390799,1,1,1,2,5,1047,35512519,32263784,0.9085185987510489,0.09148140124895111,0.09148140124895111,0.0128995355130961,0.005045516483919375,0.001685321168008386,0.0014811959692298932,0.0014075036468125508,0.0011198867644393235
64,nontrivial,2,3248735,2,1595,20.83648435467959,140.16267372635448,6.726790918299797,0.8805539598830359,2,3,6,10,1077,1353,35512519,32263784,0.9085185987510489,0.09148140124895111,1.0,0.14100719203012865,0.05515346742655218,0.018422555240732164,0.016191225199962446,0.015385680888099522,0.01224168791852829
128,all,1,39454004,1,1662,2.744968546158205,44.04805955606395,16.046835807176226,0.6318599282806601,1,1,1,2,5,1104,39454004,36097513,0.9149264799587895,0.08507352004121052,0.08507352004121052,0.010638920196794221,0.003972549909002899,0.0014530844575369334,0.001313833698602555,0.0012671717679148611,0.0011637348645273113
128,nontrivial,2,3356491,2,1662,21.51130064105639,149.7384564567184,6.960920632150347,0.8858588489788313,2,3,5,9,1165,1450,39454004,36097513,0.9149264799587895,0.08507352004121052,1.0,0.12505560122163295,0.0466954924056105,0.017080337769414547,0.015443509307786018,0.014895019828743769,0.013679166725011328
512,all,1,39910756,1,1807,2.8368793615435397,47.442999837765115,16.72365786183854,0.64415851019181,1,1,1,2,4,1191,39910756,36737434,0.9204895542444749,0.07951044575552516,0.07951044575552516,0.009726124957392439,0.0036240105298932447,0.0013937345611794475,0.0012883243805253903,0.001252795111172537,0.0012067173069836112
512,nontrivial,2,3173322,2,1807,24.10236528155668,166.78557496688026,6.919884128322705,0.8962986317058181,2,3,5,9,1284,1565,39910756,36737434,0.9204895542444749,0.07951044575552516,1.0,0.1223251217493844,0.04557904933694091,0.0175289491580117,0.016203209129108234,0.01575635879371838,0.015176839917285419
1024,all,1,40352406,1,1765,2.8273902676336076,47.362631750340185,16.75135982906968,0.6429910122787409,1,1,1,2,4,1215,40352406,37158591,0.9208519313569555,0.07914806864304448,0.07914806864304448,0.009706385289640474,0.0035766392715220006,0.0013794716478615922,0.0012718944193810897,0.0012390834886028853,0.0012139548754540187
1024,nontrivial,2,3193815,2,1765,24.08824838007211,166.8867240660123,6.928138627301581,0.8961678204477115,2,3,5,9,1298,1546,40352406,37158591,0.9208519313569555,0.07914806864304448,1.0,0.12263578197234341,0.045189217284031795,0.01742899948807304,0.01606980992950437,0.015655258679666793,0.015337770033643151
4096,all,1,40342638,1,1803,2.8506316319721083,48.06213597679607,16.86017072067147,0.6459059351040003,1,1,1,2,4,1224,40342638,37158980,0.92108453591954,0.07891546408045999,0.07891546408045999,0.009772315831205684,0.003650133142012181,0.0013832263522281314,0.0012722519533799452,0.0012393835028834752,0.0011980624568973402
4096,nontrivial,2,3183658,2,1803,24.450810985350813,169.6021631634502,6.936463713414813,0.897423791576835,2,3,5,9,1321,1580,40342638,37158980,0.92108453591954,0.07891546408045999,1.0,0.12383271067432494,0.04625371192508743,0.017527950552477686,0.016121706540086905,0.015705204516314252,0.015181592997740335
8192,all,1,39782807,1,1871,2.8729496136358605,48.6124483382733,16.920745183815402,0.6487148460619676,1,1,1,2,4,1206,39782807,36673045,0.9218315087721186,0.07816849122788143,0.07816849122788143,0.009274886007917944,0.0034097392876274416,0.0013992979429530952,0.0012914121419335745,0.0012567991997145902,0.0012118802979387553
8192,nontrivial,2,3109762,2,1871,24.960416584934794,172.3441996566824,6.904700451221761,0.8994540606930226,2,3,5,8,1311,1632,39782807,36673045,0.9218315087721186,0.07816849122788143,1.0,0.11865248851841395,0.04362037995190629,0.017901048376049358,0.0165208784466464,0.016078079287096567,0.015503437240534806
