interpretation,log_likelihood_ratio,model_1,model_2,p_value,test,test_statistic,ts
model_2,-4461.384172442811,power_law,lognormal,0.0,Vuong two-sided normal,-67.27125075355664,2
model_1,633565.6526182628,power_law,exponential,0.0,Vuong two-sided normal,407.10147004001624,2
model_2,-9734.490373387933,power_law,cutoff_power_law,0.0,Wilks chi-square df=1,19468.980746775866,2
model_2,-230.48258788658268,power_law,lognormal,0.0,Vuong two-sided normal,-68.41327018619843,8
model_1,848680.2107710182,power_law,exponential,0.0,Vuong two-sided normal,531.6330377991375,8
model_2,-988.9565628059208,power_law,cutoff_power_law,0.0,Wilks chi-square df=1,1977.9131256118417,8
model_2,-164.21849780278035,power_law,lognormal,2.6640152818782065e-31,Vuong two-sided normal,-11.637271716860166,16
model_2,-87.30261952871895,power_law,exponential,6.981847744143509e-106,Vuong two-sided normal,-21.85490365063648,16
model_2,-168.8126072828818,power_law,cutoff_power_law,2.0992389386308965e-75,Wilks chi-square df=1,337.6252145657636,16
model_2,-12.139238553618107,power_law,lognormal,0.00428287282856233,Vuong two-sided normal,-2.8565390755391755,32
model_2,-3.67062643478303,power_law,exponential,4.47774969987391e-09,Vuong two-sided normal,-5.865502333201809,32
model_2,-12.18327179226435,power_law,cutoff_power_law,7.963985580081439e-07,Wilks chi-square df=1,24.3665435845287,32
model_2,-5.831646027001254,power_law,lognormal,0.03127496297446946,Vuong two-sided normal,-2.1535565734606488,64
model_2,-2.1121409955079775,power_law,exponential,2.218311218489039e-05,Vuong two-sided normal,-4.241701985747545,64
model_2,-5.8917183962348645,power_law,cutoff_power_law,0.000597600532906592,Wilks chi-square df=1,11.783436792469729,64
model_2,-44.817815468073306,power_law,lognormal,5.088218927317451e-09,Vuong two-sided normal,-5.844261029003859,128
model_2,-7.434822900849728,power_law,exponential,8.974827058018495e-37,Vuong two-sided normal,-12.667302124859813,128
model_2,-45.00084129798506,power_law,cutoff_power_law,2.379575596865089e-21,Wilks chi-square df=1,90.00168259597012,128
model_2,-36.870425353108494,power_law,lognormal,3.103116124151336e-07,Vuong two-sided normal,-5.117074173840779,512
model_2,-7.252365600885673,power_law,exponential,2.3776733304948e-28,Vuong two-sided normal,-11.042704369235038,512
model_2,-36.99009069460226,power_law,cutoff_power_law,7.890526174135954e-18,Wilks chi-square df=1,73.98018138920452,512
model_2,-17.157636947189705,power_law,lognormal,0.00038413347327204025,Vuong two-sided normal,-3.550751124513732,1024
model_2,-2.8326008605413087,power_law,exponential,1.439606729094115e-14,Vuong two-sided normal,-7.692790020779592,1024
model_2,-17.214273957803016,power_law,cutoff_power_law,4.421896554300358e-09,Wilks chi-square df=1,34.42854791560603,1024
model_2,-34.08395004973022,power_law,lognormal,1.2240307438149233e-07,Vuong two-sided normal,-5.289870379841236,4096
model_2,-6.277344063141117,power_law,exponential,2.696706129570881e-29,Vuong two-sided normal,-11.236565569879907,4096
model_2,-34.29465104751307,power_law,cutoff_power_law,1.2126014078029824e-16,Wilks chi-square df=1,68.58930209502614,4096
model_2,-52.30121586876721,power_law,lognormal,9.593624420867473e-10,Vuong two-sided normal,-6.11602838514985,8192
model_2,-8.25421167429431,power_law,exponential,1.68179847723197e-40,Vuong two-sided normal,-13.32386102750348,8192
model_2,-52.53768237348231,power_law,cutoff_power_law,1.1757768386826347e-24,Wilks chi-square df=1,105.07536474696462,8192
