aic,alpha,bic,ks,lambda,log_likelihood,model,mu,n_tail,sigma,ts,xmin
6911089.42023425,1.7982411641417828,6911101.247617053,0.024184488055736253,,-3455543.710117125,power_law,,1011943,,2,3
6891622.439487474,1.6965958359183952,6891646.09425308,0.020521307577274772,0.0015512759965547027,-3445809.219743737,cutoff_power_law,,1011943,,2,3
6902168.651889362,,6902192.306654968,0.02079518343724618,,-3451082.325944681,lognormal,-6.8266321002239145,1011943,3.56160272371477,2,3
8178220.725470776,,8178232.552853579,0.3511278544083166,0.04779882097149064,-4089109.362735388,exponential,,1011943,,2,3
6138979.138612559,1.8830401378168957,6138990.816809724,0.03096317581195207,,-3069488.5693062795,power_law,,871697,,8,4
6137003.225486947,1.8618307990313359,6137026.581881278,0.032961000326194534,0.00015459094145476129,-3068499.6127434736,cutoff_power_law,,871697,,8,4
6138520.173436786,,6138543.529831117,0.030779610354790266,,-3069258.086718393,lognormal,-614636.2295340968,871697,835.7939990628582,8,4
7836339.560154596,,7836351.238351761,0.444994689952677,0.03035371698110314,-3918168.780077298,exponential,,871697,,8,4
69168.03711933464,11.82239621285624,69174.80584915188,0.04964515951806392,,-34583.01855966732,power_law,,6430,,16,787
68832.41190476887,-34.39754035559339,68845.94936440334,0.016554385041730707,0.05023638331927386,-34414.20595238444,cutoff_power_law,,6430,,16,787
68841.60012372912,,68855.13758336358,0.017161127455521424,,-34418.80006186456,lognormal,6.586353353177397,6430,0.14727001016151756,16,787
68993.43188027725,,69000.20061009449,0.03494575128798205,0.0127171813297754,-34495.71594013862,exponential,,6430,,16,787
11322.529662866164,37.28203043891666,11327.665350213192,0.04014553145542199,,-5660.264831433082,power_law,,1256,,32,1177
11300.163119281635,-226.07800418348762,11310.434493975692,0.016000103916237296,0.21309803345270906,-5648.081559640817,cutoff_power_law,,1256,,32,1177
11300.251185759003,,11310.52256045306,0.016071619152986716,,-5648.125592879502,lognormal,6.982357740109473,1256,0.06139059507951867,32,1177
11315.188409996674,,11320.324097343702,0.036491941940824946,0.03008826391556578,-5656.594204998337,exponential,,1256,,32,1177
9257.83851043367,41.04747780004592,9262.755225454024,0.031954034530580655,,-4627.919255216835,power_law,,1009,,64,1411
9248.0550736412,-190.17919851779394,9257.888503681908,0.02360171579710435,0.15660635641982573,-4622.0275368206,cutoff_power_law,,1009,,64,1411
9248.175218379623,,9258.008648420331,0.023553875289481274,,-4622.087609189812,lognormal,7.124643527401863,1009,0.06561019346660983,64,1411
9253.614228442611,,9258.530943462965,0.02732775734025117,0.02775014779733441,-4625.807114221306,exponential,,1009,,64,1411
15860.188527929824,38.50223495133697,15865.617455124626,0.057583772480613526,,-7929.094263964912,power_law,,1684,,128,1490
15772.186845333854,-530.7666220289348,15783.044699723458,0.011608486724001166,0.36557592311141923,-7884.093422666927,cutoff_power_law,,1684,,128,1490
15772.552896993664,,15783.410751383268,0.011828477997202547,,-7884.276448496832,lognormal,7.284609741700416,1684,0.04186681448339403,128,1490
15845.318882128113,,15850.747809322915,0.052987108053964005,0.024623646961044524,-7921.659441064056,exponential,,1684,,128,1490
18431.666081202464,39.53510490343092,18437.237039785632,0.04857250892029641,,-9214.833040601232,power_law,,1941,,512,1593
18359.68589981326,-431.8993969998028,18370.827816979596,0.014625736728151373,0.2831858709715146,-9177.84294990663,cutoff_power_law,,1941,,512,1593
18359.925230496192,,18371.06714766253,0.014856348874325964,,-9177.962615248096,lognormal,7.335722010536228,1941,0.04596031937590142,512,1593
18417.161350000642,,18422.73230858381,0.04421548222842242,0.023666208567710165,-9207.580675000321,exponential,,1941,,512,1593
9080.721833551306,50.49840077009776,9085.63854857166,0.04472634055269159,,-4539.360916775653,power_law,,1009,,1024,1605
9048.2932856357,-670.2948082970438,9058.126715676408,0.01268869135018258,0.4338856071367017,-4522.14664281785,cutoff_power_law,,1009,,1024,1605
9048.406559656918,,9058.239989697626,0.012849867529994452,,-4522.203279828459,lognormal,7.346676377686932,1009,0.03718863541379301,1024,1605
9075.056631830215,,9079.97334685057,0.04151138467856691,0.030317643421241783,-4536.528315915108,exponential,,1009,,1024,1605
15430.805255522837,39.90759795462541,15436.197287090352,0.04464278293165158,,-7714.402627761418,power_law,,1623,,4096,1618
15364.21595342781,-477.1929170288279,15375.00001656284,0.0213582982428141,0.3060475780792639,-7680.107976713905,cutoff_power_law,,1623,,4096,1618
15364.637355423489,,15375.421418558519,0.021473017350087942,,-7680.318677711744,lognormal,7.356852660380205,1623,0.043937657964666685,4096,1618
15418.250567396668,,15423.642598964183,0.04077729333986799,0.023534592095701856,-7708.125283698334,exponential,,1623,,4096,1618
19803.557707574513,42.12476559362372,19809.205970605413,0.05452294677327252,,-9900.778853787257,power_law,,2097,,8192,1659
19700.48234282755,-611.2666672691234,19711.778868889352,0.015097045015994154,0.3782492053119608,-9848.241171413774,cutoff_power_law,,2097,,8192,1659
19700.95527583712,,19712.251801898925,0.015331443634006792,,-9848.47763791856,lognormal,7.391300731607576,2097,0.03908804478344522,8192,1659
19787.049284226072,,19792.697547256972,0.05032916015918054,0.024296070228529174,-9892.524642113036,exponential,,2097,,8192,1659
