ts,xmin,alpha,ks,log_likelihood,n_tail,n_total_s_ge_2,tail_fraction,distinct_tail_sizes,maximum_size,tail_span_decades
2,3,1.7982411641417828,0.024184488055736253,-3455543.710117125,1011943,1608970,0.6289383891557954,499,546,2.2600713879850747
8,4,1.8830401378168957,0.03096317581195207,-3069488.5693062795,871697,2339395,0.372616424331932,745,795,2.298307137328508
16,787,11.82239621285624,0.04964515951806253,-34583.01855966732,6430,2628781,0.0024460006367970554,317,1137,0.15978573232867022
32,1177,37.28203043891666,0.040145531455420214,-5660.264831433082,1256,2942402,0.0004268621350855526,130,1353,0.0605213337541883
64,1411,41.04747780004592,0.03195403453056589,-4627.919255216835,1009,3248735,0.00031058242669839185,140,1595,0.05323367363885209
128,1490,38.50223495133697,0.057583772480605144,-7929.094263964912,1684,3356491,0.0005017144392760177,150,1662,0.04744475103581811
512,1593,39.53510490343092,0.04857250892028708,-9214.833040601232,1941,3173322,0.0006116618483721476,163,1807,0.05474237675980038
1024,1605,50.49840077009776,0.044726340552660615,-4539.360916775653,1009,3193815,0.0003159231201556759,122,1765,0.041269672982950485
4096,1618,39.90759795462541,0.04464278293165286,-7714.402627761418,1623,3183658,0.0005097909385995606,157,1803,0.047017209446148414
8192,1659,42.12476559362372,0.05452294677328384,-9900.778853787257,2097,3109762,0.0006743281318634674,153,1871,0.05222740147564921
