ts,xmin,alpha,observed_ks,n_tail,replicates,exceedances,p_value,monte_carlo_standard_error,seed
2,3,1.7982411641417828,0.024184488055736253,1011943,2500,0,0.0,0.0,212738
8,4,1.8830401378168957,0.03096317581195207,871697,2500,0,0.0,0.0,812738
16,787,11.82239621285624,0.04964515951806253,6430,2500,0,0.0,0.0,1612738
32,1177,37.28203043891666,0.040145531455420214,1256,2500,0,0.0,0.0,3212738
64,1411,41.04747780004592,0.03195403453056589,1009,2500,62,0.0248,0.003110302879142158,6412738
128,1490,38.50223495133697,0.057583772480605144,1684,2500,0,0.0,0.0,12812738
512,1593,39.53510490343092,0.04857250892028708,1941,2500,0,0.0,0.0,51212738
1024,1605,50.49840077009776,0.044726340552660615,1009,2500,3,0.0012,0.0006924045060511955,102412738
4096,1618,39.90759795462541,0.04464278293165286,1623,2500,0,0.0,0.0,409612738
8192,1659,42.12476559362372,0.05452294677328384,2097,2500,0,0.0,0.0,819212738
