# Ts = 32
# normalized_force_midpoint  Psi_percent
0.01666667 2.74330900
0.05000000 3.35420196
0.08333333 3.64074731
0.11666667 4.05575737
0.15000000 4.81730144
0.18333333 5.49224353
0.21666667 6.18948959
0.25000000 6.87258008
0.28333333 7.48733673
0.31666667 7.86741671
0.35000000 8.00468188
0.38333333 8.39176189
0.41666667 8.52316684
0.45000000 8.90218462
0.48333333 9.16405021
0.51666667 9.51018395
0.55000000 10.02430378
0.58333333 10.47906153
0.61666667 11.01362970
0.65000000 11.72780014
0.68333333 12.22523736
0.71666667 13.36495927
0.75000000 14.51811812
0.78333333 15.92028804
0.81666667 17.79065710
0.85000000 20.00897758
0.88333333 23.48084047
0.91666667 28.25929345
0.95000000 37.04103620
0.98333333 93.69575456
