ts,fibrils,mean_df,sem_df,mean_backbone_mean_n_201,sem_backbone_mean_n_201,mean_backbone_min_n_201,sem_backbone_min_n_201,mean_backbone_cv_n_201,sem_backbone_cv_n_201,mean_backbone_mean_coordination,sem_backbone_mean_coordination,mean_backbone_mean_unit_stress,sem_backbone_mean_unit_stress,mean_backbone_max_unit_stress,sem_backbone_max_unit_stress,mean_backbone_rods,sem_backbone_rods,mean_backbone_rod_fraction,sem_backbone_rod_fraction,mean_backbone_mean_void_fraction,sem_backbone_mean_void_fraction,mean_backbone_max_void_fraction,sem_backbone_max_void_fraction,mean_full_mean_n_11,sem_full_mean_n_11,mean_full_mean_packing_fraction_11,sem_full_mean_packing_fraction_11
2,50,1.7112778018497286,0.008920033142821297,50.03432835820896,0.9304897238087966,27.12,0.9001768533721243,0.23119039882230116,0.006652495614824253,25.538998173252857,0.11903178364689983,0.020327631728960703,0.0003793280140325906,0.030880928128123174,0.0010035552554923043,603.18,11.04771432635433,0.7598289100309122,0.009894536418878032,0.826870836130765,0.003219687625635973,0.906159169550173,0.003114798800595587,2137.150909090909,33.42478758491938,0.06628527090563895,0.001034838712088368
8,50,1.737792999192475,0.010550340877809369,75.62666666666667,0.9734131511845724,46.0,0.9963197585235825,0.18952745812951147,0.004538915921061637,32.07472887754575,0.10090194407516066,0.013357130116905562,0.00017284853172893692,0.018328000454404546,0.0004197991052159639,913.44,11.758389449621898,0.9105389682105429,0.004523681531927179,0.7383160322952711,0.0033682115957943686,0.8408304498269896,0.003447473212884369,2674.9345454545455,36.960144100291586,0.08293812246013355,0.0011452133789439456
16,49,1.7402929169352208,0.009935453493932194,101.34978170372626,1.2838047413943952,66.65306122448979,1.2888688220618623,0.17125148245791957,0.0033994789108439476,36.69369770561254,0.11550425737940381,0.009968246262399935,0.00011985549446054454,0.012749936920243916,0.00021547930158229625,1226.265306122449,15.021123887672752,0.9615999912519384,0.002852566649063262,0.6493087138279368,0.004442230939080953,0.7693665701574748,0.004459753709556617,3452.0909090909095,34.37162521702451,0.10703425057257891,0.0010586619150052426
32,50,1.745155679693613,0.01319459690779267,132.62895522388058,1.1413875912693798,90.16,1.4555621678546733,0.15544859341647668,0.002860803852957805,41.109459736799494,0.08775552870530583,0.007584109804360397,7.051482413236752e-05,0.009417967912346394,0.00016594160770870737,1607.08,13.909293325554914,0.9890436150285944,0.0009110207346132869,0.5410762795021432,0.0039494380320739784,0.6880276816608998,0.005036547293614785,4519.478181818182,58.221994813942004,0.1400882563655454,0.0018263700016385304
64,50,1.7662620090102064,0.010068931455619028,164.77233830845773,1.1309744229002432,117.54,1.5410597996581603,0.1424791149811018,0.0017911803861606432,44.694546120582025,0.07986003516088089,0.006089790223207932,4.3147934773545094e-05,0.007222439553417116,9.008977861345179e-05,1999.12,13.889289369282846,0.9967242590003214,0.0004622201040270286,0.42985350066277617,0.003913406307613298,0.5932871972318339,0.005332386850028236,5551.66909090909,80.06778633277386,0.17198934621017276,0.0025038901034408626
128,50,1.7949728498059914,0.007250632106917238,178.33164179104477,1.0148550003573888,130.78,1.624629314078527,0.13489094368029264,0.0014048175258138528,46.70472462219244,0.05516758294230953,0.005619698865036406,3.4962589562518524e-05,0.006537248524822612,8.685860070165842e-05,2166.0,13.118206696754534,0.9979836327926624,0.00032000132243860917,0.3829354955327171,0.0035116089977764316,0.5474740484429066,0.0056215547199949005,6759.519999999999,90.70084475124793,0.20935198375741446,0.002822758280787336
512,50,1.898237120579796,0.003590569083526924,186.49402985074627,0.9015488298603584,135.62,1.7228097600686372,0.13830204073550742,0.0022629111823493668,49.1073573603756,0.05235929276850333,0.005372151705671034,2.84386318914083e-05,0.006316015546211084,8.84785036591896e-05,2264.44,11.60493069029413,0.9985321357698445,0.00014848657127699042,0.35469193823271183,0.0031195461240842853,0.5307266435986159,0.00596127944660428,8225.889090909091,95.45062835995019,0.25451095523545997,0.0029922718551812937
1024,50,1.9341288008506237,0.0024251915943625446,188.09860696517407,0.7529790520802659,135.18,1.6264873883586666,0.1356989037404041,0.001435917668014159,49.76866442620021,0.05661551404860479,0.0053279271214815285,2.3593256501900946e-05,0.006250547344432462,8.466595056010727e-05,2281.84,9.93745173265136,0.998234342495136,0.00020584805023055302,0.34913976828659465,0.0026054638480286015,0.5322491349480969,0.005627984042763552,9137.42181818182,85.81502284837147,0.2827776139144966,0.0026278509051249053
4096,50,1.9626606945859337,0.0014941320090034057,189.29671641791046,1.0573453133440374,136.48,1.8679334865578274,0.13893443078635695,0.001791710386151006,50.340550046160914,0.06818328060148109,0.005293740095470768,3.200844682132803e-05,0.006213054495601755,8.506019853435667e-05,2300.04,13.585315000892301,0.9979858969903791,0.00022309545503608404,0.3449940608376801,0.0036586343022285022,0.527750865051903,0.006463437669750267,10443.398181818182,147.62849951842767,0.3233790213318389,0.004566784631529378
8192,50,1.9647153173363605,0.0018439672144012942,188.21621890547266,1.3089724042111672,133.02,2.2893702903922315,0.13883118945614828,0.001970953261312603,50.37652516905534,0.0687725354980852,0.005330044438906872,4.002304582151231e-05,0.00638368843152707,0.00012110834795408359,2285.88,16.613533701197234,0.9984308003645309,0.00017623347560155475,0.3487328065554581,0.00452931627754729,0.5397231833910034,0.007921696506547515,10967.805454545454,150.47064954277158,0.3395571546477921,0.0046817160190109584
