# Figure 8(b): survival function of the preterminal cascade size
# Columns: s   P(S > s)
# Set order: m = 1, m = 2, m = 3, m = 5, m = 10
# The terminal cascade of each realization is excluded. Points with
# P(S > s) <= 3e-07 are dropped: there the tail is a single event.
# Use logarithmic axes on both.

@type xy
# m = 1; 3071545 cascatas preterminais
1 2.22427150e-01
2 9.07559551e-02
3 4.87897784e-02
4 3.05764688e-02
5 2.09910648e-02
6 1.54147180e-02
7 1.17992737e-02
8 9.34318071e-03
9 7.61278119e-03
10 6.31929534e-03
11 5.31393810e-03
12 4.54103717e-03
13 3.92603722e-03
14 3.41814950e-03
15 2.99100290e-03
16 2.62636556e-03
17 2.33140000e-03
18 2.06150325e-03
19 1.85248792e-03
20 1.66691356e-03
21 1.49826879e-03
22 1.34525133e-03
23 1.20460550e-03
24 1.08284267e-03
25 9.78660576e-04
26 8.79687584e-04
27 7.93737354e-04
28 7.12670659e-04
29 6.48207987e-04
30 5.85047590e-04
31 5.28073006e-04
32 4.80539924e-04
33 4.41471637e-04
34 4.05007903e-04
35 3.68869738e-04
36 3.33382711e-04
37 3.04081496e-04
38 2.75756989e-04
39 2.50037033e-04
40 2.26596062e-04
41 2.09015333e-04
42 1.92736880e-04
43 1.76132858e-04
44 1.59528836e-04
45 1.47482781e-04
46 1.31855467e-04
47 1.18507136e-04
48 1.10367909e-04
49 1.00600838e-04
50 9.34383185e-05
51 8.49735231e-05
52 7.61831586e-05
53 6.96717776e-05
54 6.21836893e-05
55 5.59978773e-05
56 5.14399105e-05
57 4.72075128e-05
58 4.23239770e-05
59 3.80915793e-05
60 3.35336126e-05
61 3.06034911e-05
62 2.70222315e-05
63 2.37665409e-05
64 2.08364195e-05
65 1.85574361e-05
66 1.72551599e-05
67 1.49761765e-05
68 1.43250384e-05
69 1.23716241e-05
70 9.76707162e-06
71 8.79036446e-06
72 7.48808824e-06
73 7.48808824e-06
74 7.16251919e-06
75 6.51138108e-06
76 6.18581203e-06
77 5.86024297e-06
78 5.20910486e-06
79 4.23239770e-06
80 4.23239770e-06
81 3.58125959e-06
82 2.93012149e-06
83 2.93012149e-06
84 2.93012149e-06
85 2.60455243e-06
86 1.62784527e-06
87 1.62784527e-06
88 1.62784527e-06
89 1.30227622e-06
90 9.76707162e-07
91 9.76707162e-07
92 3.25569054e-07
93 3.25569054e-07
&
@type xy
# m = 2; 1533784 cascatas preterminais
1 2.75894129e-01
2 1.28810184e-01
3 7.65564121e-02
4 5.08383188e-02
5 3.65807702e-02
6 2.76675203e-02
7 2.16699353e-02
8 1.74770372e-02
9 1.44537953e-02
