ts,rule,level,r_lo,r_hi,n_points,n_fibrils,n_sections,df,df_err,decades
2,manuscript,ensemble,5.00,41.00,37,50,550,1.2292,0.0517,0.91
2,manuscript,fibril,5.00,41.00,,50,550,1.2302,0.0076,0.91
2,abs_4_8,ensemble,4.00,8.00,5,50,550,1.7762,0.0143,0.30
2,abs_4_8,fibril,4.00,8.00,,50,550,1.7802,0.0159,0.30
2,abs_2_16,ensemble,2.00,16.00,15,50,550,1.7483,0.0157,0.90
2,abs_2_16,fibril,2.00,16.00,,50,550,1.7562,0.0123,0.90
2,rel,ensemble,4.86,16.20,12,50,550,1.6714,0.0113,0.52
2,rel,fibril,4.86,16.20,,50,550,1.6660,0.0114,0.52
8,manuscript,ensemble,5.00,34.00,30,50,550,1.2203,0.0532,0.83
8,manuscript,fibril,5.00,34.00,,50,550,1.2220,0.0090,0.83
8,abs_4_8,ensemble,4.00,8.00,5,50,550,1.6829,0.0128,0.30
8,abs_4_8,fibril,4.00,8.00,,50,550,1.6844,0.0177,0.30
8,abs_2_16,ensemble,2.00,16.00,15,50,550,1.6814,0.0164,0.90
8,abs_2_16,fibril,2.00,16.00,,50,550,1.6853,0.0108,0.90
8,rel,ensemble,4.30,14.34,10,50,550,1.6186,0.0074,0.52
8,rel,fibril,4.30,14.34,,50,550,1.6251,0.0132,0.52
16,manuscript,ensemble,5.00,27.00,23,49,539,1.2348,0.0538,0.73
16,manuscript,fibril,5.00,27.00,,49,539,1.2369,0.0105,0.73
16,abs_4_8,ensemble,4.00,8.00,5,49,539,1.7095,0.0182,0.30
16,abs_4_8,fibril,4.00,8.00,,49,539,1.7126,0.0172,0.30
16,abs_2_16,ensemble,2.00,16.00,15,49,539,1.6738,0.0282,0.90
16,abs_2_16,fibril,2.00,16.00,,49,539,1.6765,0.0095,0.90
16,rel,ensemble,3.69,12.31,9,49,539,1.6398,0.0193,0.52
16,rel,fibril,3.69,12.31,,49,539,1.6403,0.0144,0.52
32,manuscript,ensemble,5.00,26.00,22,50,550,1.0898,0.0726,0.72
32,manuscript,fibril,5.00,26.00,,50,550,1.0907,0.0090,0.72
32,abs_4_8,ensemble,4.00,8.00,5,50,550,1.8000,0.0194,0.30
32,abs_4_8,fibril,4.00,8.00,,50,550,1.8002,0.0126,0.30
32,abs_2_16,ensemble,2.00,16.00,15,50,550,1.6872,0.0395,0.90
32,abs_2_16,fibril,2.00,16.00,,50,550,1.6889,0.0080,0.90
32,rel,ensemble,3.25,10.84,7,50,550,1.7474,0.0252,0.52
32,rel,fibril,3.25,10.84,,50,550,1.7468,0.0117,0.52
64,manuscript,ensemble,5.00,23.00,19,50,550,1.0411,0.0963,0.66
64,manuscript,fibril,5.00,23.00,,50,550,1.0410,0.0059,0.66
64,abs_4_8,ensemble,4.00,8.00,5,50,550,1.9029,0.0109,0.30
64,abs_4_8,fibril,4.00,8.00,,50,550,1.9030,0.0077,0.30
64,abs_2_16,ensemble,2.00,16.00,15,50,550,1.7069,0.0596,0.90
64,abs_2_16,fibril,2.00,16.00,,50,550,1.7072,0.0056,0.90
64,rel,ensemble,2.64,8.80,6,50,550,1.9207,0.0102,0.52
64,rel,fibril,2.64,8.80,,50,550,1.9101,0.0078,0.52
128,manuscript,ensemble,5.00,23.00,19,50,550,0.9849,0.1069,0.66
128,manuscript,fibril,5.00,23.00,,50,550,0.9851,0.0077,0.66
128,abs_4_8,ensemble,4.00,8.00,5,50,550,1.9517,0.0025,0.30
128,abs_4_8,fibril,4.00,8.00,,50,550,1.9511,0.0058,0.30
