ts,r,mean_mass,n_sections
2,1,0.9636,550
2,2,3.8145,550
2,3,8.2309,550
2,4,14.0200,550
2,5,21.0345,550
2,6,29.2200,550
2,7,38.2200,550
2,8,47.9309,550
2,9,58.3382,550
2,10,69.5055,550
2,11,81.5236,550
2,12,94.2618,550
2,13,106.9382,550
2,14,120.1145,550
2,15,133.8455,550
2,16,147.8364,550
2,17,161.6455,550
2,18,175.8218,550
2,19,189.8145,550
2,20,203.5436,550
2,21,216.3364,550
2,22,228.1582,550
2,23,239.1255,550
2,24,248.9709,550
2,25,257.7400,550
2,26,265.3018,550
2,27,271.5291,550
2,28,276.4345,550
2,29,280.2855,550
2,30,282.8509,550
2,31,284.7873,550
2,32,286.1309,550
2,33,287.0545,550
2,34,287.6236,550
2,35,287.9873,550
2,36,288.1855,550
2,37,288.2891,550
2,38,288.3382,550
2,39,288.3673,550
2,40,288.3836,550
2,41,288.3982,550
2,42,288.4127,550
2,43,288.4236,550
2,44,288.4309,550
2,45,288.4527,550
2,46,288.4582,550
2,47,288.4582,550
2,48,288.4582,550
2,49,288.4582,550
2,50,288.4582,550
2,51,288.4582,550
2,52,288.4582,550
2,53,288.4582,550
2,54,288.4582,550
2,55,288.4582,550
2,56,288.4582,550
2,57,288.4582,550
2,58,288.4582,550
2,59,288.4582,550
2,60,288.4582,550
2,61,288.4582,550
2,62,288.4582,550
2,63,288.4582,550
2,64,288.4582,550
8,1,1.3655,550
8,2,5.2927,550
8,3,11.2764,550
8,4,18.9927,550
8,5,27.9745,550
8,6,38.0764,550
8,7,49.0236,550
8,8,61.0218,550
8,9,73.8691,550
8,10,87.5364,550
8,11,101.7982,550
8,12,116.8145,550
8,13,132.4145,550
8,14,148.3036,550
8,15,164.3764,550
8,16,180.2691,550
8,17,195.7200,550
8,18,210.2745,550
8,19,224.2364,550
8,20,236.9745,550
8,21,248.3600,550
8,22,258.0618,550
8,23,265.8527,550
8,24,272.1545,550
8,25,277.0509,550
8,26,280.4764,550
8,27,282.7164,550
8,28,284.0764,550
8,29,285.0945,550
8,30,285.7127,550
8,31,286.1164,550
8,32,286.3709,550
8,33,286.5218,550
8,34,286.6055,550
8,35,286.6436,550
8,36,286.6636,550
8,37,286.6764,550
8,38,286.6873,550
8,39,286.6891,550
8,40,286.6891,550
8,41,286.6891,550
8,42,286.6891,550
8,43,286.6891,550
8,44,286.6891,550
8,45,286.6891,550
8,46,286.6891,550
8,47,286.6891,550
8,48,286.6891,550
8,49,286.6891,550
8,50,286.6891,550
8,51,286.6891,550
8,52,286.6891,550
8,53,286.6891,550
8,54,286.6891,550
8,55,286.6891,550
8,56,286.6891,550
8,57,286.6891,550
8,58,286.6891,550
8,59,286.6891,550
8,60,286.6891,550
8,61,286.6891,550
8,62,286.6891,550
8,63,286.6891,550
8,64,286.6891,550
16,1,1.6456,539
16,2,6.3117,539
16,3,13.9091,539
16,4,23.8497,539
16,5,35.3228,539
16,6,48.5584,539
16,7,62.7866,539
16,8,77.7866,539
16,9,93.8905,539
16,10,110.3748,539
16,11,127.5232,539
16,12,144.7384,539
16,13,162.2189,539
16,14,179.4193,539
16,15,196.1929,539
16,16,211.9147,539
16,17,226.3247,539
16,18,239.1670,539
16,19,249.9369,539
16,20,258.7032,539
16,21,265.6030,539
16,22,270.9536,539
16,23,274.8163,539
16,24,277.2653,539
16,25,278.7273,539
16,26,279.5622,539
16,27,279.9889,539
16,28,280.1911,539
16,29,280.3061,539
16,30,280.3432,539
16,31,280.3525,539
16,32,280.3544,539
16,33,280.3544,539
16,34,280.3544,539
16,35,280.3544,539
16,36,280.3544,539
16,37,280.3544,539
16,38,280.3544,539
16,39,280.3544,539
16,40,280.3544,539
16,41,280.3544,539
16,42,280.3544,539
16,43,280.3544,539
16,44,280.3544,539
16,45,280.3544,539
16,46,280.3544,539
16,47,280.3544,539
16,48,280.3544,539
16,49,280.3544,539
16,50,280.3544,539
16,51,280.3544,539
16,52,280.3544,539
16,53,280.3544,539
16,54,280.3544,539
16,55,280.3544,539
16,56,280.3544,539
16,57,280.3544,539
16,58,280.3544,539
16,59,280.3544,539
16,60,280.3544,539
16,61,280.3544,539
16,62,280.3544,539
16,63,280.3544,539
16,64,280.3544,539
32,1,1.8455,550
32,2,7.5836,550
32,3,16.5945,550
32,4,28.7782,550
32,5,43.6582,550
32,6,60.8291,550
32,7,79.8073,550
32,8,100.0364,550
32,9,120.9418,550
32,10,142.2327,550
32,11,163.5491,550
32,12,184.2491,550
32,13,203.3218,550
32,14,220.7964,550
32,15,235.8182,550
32,16,248.1200,550
32,17,257.6055,550
32,18,264.7964,550
32,19,269.9273,550
32,20,273.4909,550
32,21,275.7473,550
32,22,277.1145,550
32,23,277.9891,550
32,24,278.5036,550
32,25,278.7727,550
32,26,278.8964,550
32,27,278.9636,550
32,28,279.0018,550
32,29,279.0200,550
32,30,279.0291,550
32,31,279.0309,550
32,32,279.0309,550
32,33,279.0309,550
32,34,279.0309,550
32,35,279.0309,550
32,36,279.0309,550
32,37,279.0309,550
32,38,279.0309,550
32,39,279.0309,550
32,40,279.0309,550
32,41,279.0309,550
32,42,279.0309,550
32,43,279.0309,550
32,44,279.0309,550
32,45,279.0309,550
32,46,279.0309,550
32,47,279.0309,550
32,48,279.0309,550
32,49,279.0309,550
32,50,279.0309,550
32,51,279.0309,550
32,52,279.0309,550
32,53,279.0309,550
32,54,279.0309,550
32,55,279.0309,550
32,56,279.0309,550
32,57,279.0309,550
32,58,279.0309,550
32,59,279.0309,550
32,60,279.0309,550
32,61,279.0309,550
32,62,279.0309,550
32,63,279.0309,550
32,64,279.0309,550
64,1,2.1382,550
64,2,8.3291,550
64,3,18.6473,550
64,4,32.7618,550
64,5,50.6182,550
64,6,71.4836,550
64,7,95.7964,550
64,8,122.4618,550
64,9,150.5982,550
64,10,178.0873,550
64,11,203.8182,550
64,12,225.6600,550
64,13,242.1436,550
64,14,253.3782,550
64,15,260.6436,550
64,16,265.1582,550
64,17,267.8327,550
64,18,269.4945,550
64,19,270.4473,550
64,20,271.0164,550
64,21,271.2745,550
64,22,271.3909,550
64,23,271.4455,550
64,24,271.4764,550
64,25,271.4873,550
64,26,271.4945,550
64,27,271.4964,550
64,28,271.4982,550
64,29,271.5000,550
64,30,271.5000,550
64,31,271.5000,550
64,32,271.5000,550
64,33,271.5000,550
64,34,271.5000,550
64,35,271.5000,550
64,36,271.5000,550
64,37,271.5000,550
64,38,271.5000,550
64,39,271.5000,550
64,40,271.5000,550
64,41,271.5000,550
64,42,271.5000,550
64,43,271.5000,550
64,44,271.5000,550
64,45,271.5000,550
64,46,271.5000,550
64,47,271.5000,550
64,48,271.5000,550
64,49,271.5000,550
64,50,271.5000,550
64,51,271.5000,550
64,52,271.5000,550
64,53,271.5000,550
64,54,271.5000,550
64,55,271.5000,550
64,56,271.5000,550
64,57,271.5000,550
64,58,271.5000,550
64,59,271.5000,550
64,60,271.5000,550
64,61,271.5000,550
64,62,271.5000,550
64,63,271.5000,550
64,64,271.5000,550
128,1,2.2218,550
128,2,8.7927,550
128,3,19.3018,550
128,4,33.9218,550
128,5,52.4800,550
128,6,74.9600,550
128,7,101.3236,550
128,8,131.0964,550
128,9,163.2527,550
128,10,195.0382,550
128,11,222.7564,550
128,12,242.6200,550
128,13,254.9964,550
128,14,261.3673,550
128,15,264.5655,550
128,16,266.3564,550
128,17,267.5873,550
128,18,268.5055,550
128,19,269.1418,550
128,20,269.5327,550
128,21,269.7927,550
128,22,269.9291,550
128,23,270.0255,550
128,24,270.0655,550
128,25,270.0964,550
128,26,270.1018,550
128,27,270.1073,550
128,28,270.1073,550
128,29,270.1073,550
128,30,270.1073,550
128,31,270.1073,550
128,32,270.1073,550
128,33,270.1073,550
128,34,270.1073,550
128,35,270.1073,550
128,36,270.1073,550
128,37,270.1073,550
128,38,270.1073,550
128,39,270.1073,550
128,40,270.1073,550
128,41,270.1073,550
128,42,270.1073,550
128,43,270.1073,550
128,44,270.1073,550
128,45,270.1073,550
128,46,270.1073,550
128,47,270.1073,550
128,48,270.1073,550
128,49,270.1073,550
128,50,270.1073,550
128,51,270.1073,550
128,52,270.1073,550
128,53,270.1073,550
128,54,270.1073,550
128,55,270.1073,550
128,56,270.1073,550
128,57,270.1073,550
128,58,270.1073,550
128,59,270.1073,550
128,60,270.1073,550
128,61,270.1073,550
128,62,270.1073,550
128,63,270.1073,550
128,64,270.1073,550
512,1,2.3364,550
512,2,9.1836,550
512,3,20.2109,550
512,4,35.7527,550
512,5,55.2382,550
512,6,78.8618,550
512,7,106.8036,550
512,8,138.7109,550
512,9,173.7509,550
512,10,209.0545,550
512,11,238.9945,550
512,12,259.1000,550
512,13,269.5745,550
512,14,273.6855,550
512,15,274.8691,550
512,16,275.1127,550
512,17,275.1982,550
512,18,275.2436,550
512,19,275.2582,550
512,20,275.2764,550
512,21,275.2891,550
512,22,275.3055,550
512,23,275.3127,550
512,24,275.3127,550
512,25,275.3127,550
512,26,275.3127,550
512,27,275.3127,550
512,28,275.3127,550
512,29,275.3127,550
512,30,275.3127,550
512,31,275.3127,550
512,32,275.3127,550
512,33,275.3127,550
512,34,275.3127,550
512,35,275.3127,550
512,36,275.3127,550
512,37,275.3127,550
512,38,275.3127,550
512,39,275.3127,550
512,40,275.3127,550
512,41,275.3127,550
512,42,275.3127,550
512,43,275.3127,550
512,44,275.3127,550
512,45,275.3127,550
512,46,275.3127,550
512,47,275.3127,550
512,48,275.3127,550
512,49,275.3127,550
512,50,275.3127,550
512,51,275.3127,550
512,52,275.3127,550
512,53,275.3127,550
512,54,275.3127,550
512,55,275.3127,550
512,56,275.3127,550
512,57,275.3127,550
512,58,275.3127,550
512,59,275.3127,550
512,60,275.3127,550
512,61,275.3127,550
512,62,275.3127,550
512,63,275.3127,550
512,64,275.3127,550
1024,1,2.3236,550
1024,2,9.1345,550
1024,3,20.3073,550
1024,4,35.5782,550
1024,5,55.1527,550
1024,6,79.0018,550
1024,7,106.9364,550
1024,8,139.0236,550
1024,9,174.2600,550
1024,10,209.2491,550
1024,11,238.9600,550
1024,12,258.6382,550
1024,13,269.0055,550
1024,14,273.2364,550
1024,15,274.4600,550
1024,16,274.8018,550
1024,17,274.9291,550
1024,18,274.9836,550
1024,19,274.9964,550
1024,20,274.9982,550
1024,21,274.9982,550
1024,22,274.9982,550
1024,23,274.9982,550
1024,24,274.9982,550
1024,25,274.9982,550
1024,26,274.9982,550
1024,27,274.9982,550
1024,28,274.9982,550
1024,29,274.9982,550
1024,30,274.9982,550
1024,31,274.9982,550
1024,32,274.9982,550
1024,33,274.9982,550
1024,34,274.9982,550
1024,35,274.9982,550
1024,36,274.9982,550
1024,37,274.9982,550
1024,38,274.9982,550
1024,39,274.9982,550
1024,40,274.9982,550
1024,41,274.9982,550
1024,42,274.9982,550
1024,43,274.9982,550
1024,44,274.9982,550
1024,45,274.9982,550
1024,46,274.9982,550
1024,47,274.9982,550
1024,48,274.9982,550
1024,49,274.9982,550
1024,50,274.9982,550
1024,51,274.9982,550
1024,52,274.9982,550
1024,53,274.9982,550
1024,54,274.9982,550
1024,55,274.9982,550
1024,56,274.9982,550
1024,57,274.9982,550
1024,58,274.9982,550
1024,59,274.9982,550
1024,60,274.9982,550
1024,61,274.9982,550
1024,62,274.9982,550
1024,63,274.9982,550
1024,64,274.9982,550
4096,1,2.3127,550
4096,2,9.1964,550
4096,3,20.5673,550
4096,4,36.4655,550
4096,5,56.5255,550
4096,6,80.8727,550
4096,7,109.5455,550
4096,8,141.7836,550
4096,9,177.1273,550
4096,10,211.8327,550
4096,11,240.1764,550
4096,12,258.9036,550
4096,13,268.6709,550
4096,14,272.6582,550
4096,15,273.8036,550
4096,16,274.1418,550
4096,17,274.2800,550
4096,18,274.3400,550
4096,19,274.3782,550
4096,20,274.4164,550
4096,21,274.4345,550
4096,22,274.4400,550
4096,23,274.4400,550
4096,24,274.4400,550
4096,25,274.4400,550
4096,26,274.4400,550
4096,27,274.4400,550
4096,28,274.4400,550
4096,29,274.4400,550
4096,30,274.4400,550
4096,31,274.4400,550
4096,32,274.4400,550
4096,33,274.4400,550
4096,34,274.4400,550
4096,35,274.4400,550
4096,36,274.4400,550
4096,37,274.4400,550
4096,38,274.4400,550
4096,39,274.4400,550
4096,40,274.4400,550
4096,41,274.4400,550
4096,42,274.4400,550
4096,43,274.4400,550
4096,44,274.4400,550
4096,45,274.4400,550
4096,46,274.4400,550
4096,47,274.4400,550
4096,48,274.4400,550
4096,49,274.4400,550
4096,50,274.4400,550
4096,51,274.4400,550
4096,52,274.4400,550
4096,53,274.4400,550
4096,54,274.4400,550
4096,55,274.4400,550
4096,56,274.4400,550
4096,57,274.4400,550
4096,58,274.4400,550
4096,59,274.4400,550
4096,60,274.4400,550
4096,61,274.4400,550
4096,62,274.4400,550
4096,63,274.4400,550
4096,64,274.4400,550
8192,1,2.3927,550
8192,2,9.2418,550
8192,3,20.6236,550
8192,4,36.3927,550
8192,5,56.4818,550
8192,6,80.9055,550
8192,7,109.5836,550
8192,8,142.0236,550
8192,9,177.4782,550
8192,10,211.8655,550
8192,11,239.5600,550
8192,12,257.6927,550
8192,13,267.4255,550
8192,14,271.4273,550
8192,15,272.5636,550
8192,16,272.8655,550
8192,17,273.0291,550
8192,18,273.1309,550
8192,19,273.2164,550
8192,20,273.2545,550
8192,21,273.2600,550
8192,22,273.2618,550
8192,23,273.2618,550
8192,24,273.2618,550
8192,25,273.2618,550
8192,26,273.2618,550
8192,27,273.2618,550
8192,28,273.2618,550
8192,29,273.2618,550
8192,30,273.2618,550
8192,31,273.2618,550
8192,32,273.2618,550
8192,33,273.2618,550
8192,34,273.2618,550
8192,35,273.2618,550
8192,36,273.2618,550
8192,37,273.2618,550
8192,38,273.2618,550
8192,39,273.2618,550
8192,40,273.2618,550
8192,41,273.2618,550
8192,42,273.2618,550
8192,43,273.2618,550
8192,44,273.2618,550
8192,45,273.2618,550
8192,46,273.2618,550
8192,47,273.2618,550
8192,48,273.2618,550
8192,49,273.2618,550
8192,50,273.2618,550
8192,51,273.2618,550
8192,52,273.2618,550
8192,53,273.2618,550
8192,54,273.2618,550
8192,55,273.2618,550
8192,56,273.2618,550
8192,57,273.2618,550
8192,58,273.2618,550
8192,59,273.2618,550
8192,60,273.2618,550
8192,61,273.2618,550
8192,62,273.2618,550
8192,63,273.2618,550
8192,64,273.2618,550
