descriptor,label,n_conditions,pearson_r,pearson_p,spearman_rho,spearman_p
backbone_mean_n_201,"Mean load-bearing area, $\overline{N}$",10,0.8086723788705719,0.004620942099520813,0.9878787878787878,9.307459988955517e-08
backbone_min_n_201,"Minimum load-bearing area, $N_{\min}$",10,0.7987564847681101,0.005583968619815162,0.9151515151515152,0.0002044724061488323
backbone_cv_n_201,"Axial variation of load-bearing area, CV$(N)$",10,-0.6684188984686354,0.03461210419667155,-0.7818181818181817,0.007547007781067878
backbone_mean_coordination,"Mean molecular coordination, $\overline{K}$",10,0.8293054524607635,0.0030061379876810896,0.9999999999999999,6.646897422032013e-64
backbone_mean_unit_stress,Mean stress exposure at $F=1$,10,-0.6625082459463685,0.0368484243934343,-0.9636363636363635,7.320974809529922e-06
backbone_max_unit_stress,Maximum stress exposure at $F=1$,10,-0.6345109232042482,0.048770691715722576,-0.9272727272727272,0.00011203450639397582
backbone_rods,Number of backbone molecules,10,0.808917313822002,0.004598777205212391,0.9878787878787878,9.307459988955517e-08
backbone_rod_fraction,Backbone molecule fraction,10,0.547701291241892,0.10123747293357824,0.9151515151515152,0.0002044724061488323
backbone_mean_void_fraction,Mean void fraction in the mechanical window,10,-0.8086723788705719,0.004620942099520813,-0.9878787878787878,9.307459988955517e-08
backbone_max_void_fraction,Maximum void fraction in the mechanical window,10,-0.7987564847681102,0.005583968619815162,-0.9151515151515152,0.0002044724061488323
full_mean_n_11,Mean cross-sectional mass of grown fibril,10,0.9690837837367813,3.8505199508817956e-06,0.9999999999999999,6.646897422032013e-64
full_mean_packing_fraction_11,Packing fraction of grown fibril,10,0.9689737826519427,3.9050928887868976e-06,0.9999999999999999,6.646897422032013e-64
