ts,m,n_realizations,n_rods,f_rup_mean,f_rup_sd,f_rup_cv,f_rup_per_rod,phi_preterminal,phi_u050,phi_u090,phi_u099,eq5_all_alpha,eq5_all_beta,eq5_all_rmse,eq5_intact_alpha,eq5_intact_beta,eq5_intact_rmse,power_intact_alpha,power_intact_rmse
2,1,10000,602.1,68.2551,19.6546,0.288,0.113362,0.3422,0.135097,0.291512,0.336919,1.46763,0.00691208,0.119619,1.27464,0.00669457,0.0496929,0.733174,0.0179462
8,1,10000,915.8,176.199,40.0789,0.2275,0.192399,0.2852,0.11111,0.236478,0.279661,1.23262,0.0100257,0.0893102,1.04585,0.001256,0.0129346,0.9142,0.00904072
16,1,10000,1222.3,302.238,58.9957,0.1952,0.24727,0.2482,0.099344,0.206323,0.243447,1.0989,0.0118646,0.113821,0.936357,-1.11226,0.00542057,0.998173,0.00438277
32,1,10000,1630.7,483.346,82.5253,0.1707,0.296404,0.2241,0.092527,0.187322,0.219723,0.989935,0.00882584,0.124345,0.854458,-6.18346,0.0100135,1.03679,0.00281727
64,1,10000,1998.5,654.577,101.094,0.1544,0.327534,0.2112,0.088521,0.177068,0.207161,0.987846,-1.01278,0.175854,0.809085,-9.46908,0.0139652,1.08966,0.000835909
128,1,10000,2178.9,767.122,104.656,0.1364,0.352068,0.2125,0.089099,0.178171,0.208601,0.958155,-1.56477,0.188791,0.790781,-13.761,0.016233,1.12818,0.00105087
512,1,10000,2273.8,848.782,107.484,0.1266,0.373288,0.2137,0.08989,0.179247,0.209653,0.942291,-2.36223,0.194939,0.780099,-14.1928,0.0171156,1.13195,0.00129915
1024,1,10000,2286.7,862.868,116.469,0.135,0.377342,0.2101,0.088368,0.175938,0.206117,0.943416,-2.09308,0.192707,0.776136,-13.0372,0.0171124,1.12646,0.00130666
4096,1,10000,2316.8,893.754,117.626,0.1316,0.385771,0.2118,0.088971,0.177398,0.20774,0.93628,-2.05613,0.194194,0.772373,-13.0906,0.0171481,1.12529,0.00131694
8192,1,10000,2321.2,902.558,128.144,0.142,0.388833,0.2152,0.09049,0.180438,0.211193,0.935696,-1.99727,0.189234,0.774005,-13.0761,0.0174337,1.12422,0.00124678
2,2,10000,602.1,150.619,35.898,0.2383,0.250157,0.2249,0.065109,0.178083,0.219605,1.26309,-2.41906,0.102774,1.00986,-0.000252311,0.012612,1.01766,0.0126056
8,2,10000,915.8,331.223,69.7137,0.2105,0.361676,0.1684,0.051603,0.132253,0.164061,1.0687,0.0110797,0.131984,0.844624,-7.67191,0.0139738,1.19435,0.00467671
