F,phi_mean_all,phi_mean_intact,survival,n_intact
0.0000,0.000000,0.000000,1.000000,10000
4.5285,0.000000,0.000000,1.000000,10000
9.0569,0.000000,0.000000,1.000000,10000
13.5854,0.000000,0.000000,1.000000,10000
18.1139,0.000000,0.000000,1.000000,10000
22.6424,0.000000,0.000000,1.000000,10000
27.1708,0.000001,0.000001,1.000000,10000
31.6993,0.000003,0.000003,1.000000,10000
36.2278,0.000004,0.000004,1.000000,10000
40.7562,0.000008,0.000008,1.000000,10000
45.2847,0.000014,0.000014,1.000000,10000
49.8132,0.000024,0.000024,1.000000,10000
54.3417,0.000038,0.000038,1.000000,10000
58.8701,0.000055,0.000055,1.000000,10000
63.3986,0.000080,0.000080,1.000000,10000
67.9271,0.000112,0.000112,1.000000,10000
72.4555,0.000154,0.000154,1.000000,10000
76.9840,0.000209,0.000209,1.000000,10000
81.5125,0.000281,0.000281,1.000000,10000
86.0410,0.000372,0.000372,1.000000,10000
90.5694,0.000486,0.000486,1.000000,10000
95.0979,0.000626,0.000626,1.000000,10000
99.6264,0.000795,0.000795,1.000000,10000
104.1548,0.000990,0.000990,1.000000,10000
108.6833,0.001197,0.001197,1.000000,10000
113.2118,0.001425,0.001425,1.000000,10000
117.7403,0.001655,0.001655,1.000000,10000
122.2687,0.001870,0.001870,1.000000,10000
126.7972,0.002055,0.002055,1.000000,10000
131.3257,0.002239,0.002239,1.000000,10000
135.8541,0.002427,0.002427,1.000000,10000
140.3826,0.002617,0.002617,1.000000,10000
144.9111,0.002800,0.002800,1.000000,10000
149.4395,0.002993,0.002993,1.000000,10000
153.9680,0.003196,0.003196,1.000000,10000
158.4965,0.003390,0.003390,1.000000,10000
163.0250,0.003586,0.003586,1.000000,10000
167.5534,0.003804,0.003804,1.000000,10000
172.0819,0.004039,0.004039,1.000000,10000
176.6104,0.004291,0.004291,1.000000,10000
181.1388,0.004574,0.004574,1.000000,10000
185.6673,0.004879,0.004879,1.000000,10000
190.1958,0.005228,0.005228,1.000000,10000
194.7243,0.005615,0.005615,1.000000,10000
199.2527,0.006022,0.006022,1.000000,10000
203.7812,0.006473,0.006473,1.000000,10000
208.3097,0.006930,0.006930,1.000000,10000
212.8381,0.007390,0.007390,1.000000,10000
217.3666,0.007856,0.007856,1.000000,10000
221.8951,0.008320,0.008320,1.000000,10000
226.4236,0.008785,0.008785,1.000000,10000
230.9520,0.009262,0.009262,1.000000,10000
235.4805,0.009736,0.009736,1.000000,10000
240.0090,0.010223,0.010223,1.000000,10000
244.5374,0.010696,0.010696,1.000000,10000
249.0659,0.011169,0.011169,1.000000,10000
253.5944,0.011638,0.011638,1.000000,10000
258.1229,0.012106,0.012106,1.000000,10000
262.6513,0.012561,0.012561,1.000000,10000
267.1798,0.013032,0.013032,1.000000,10000
271.7083,0.013484,0.013484,1.000000,10000
276.2367,0.013930,0.013930,1.000000,10000
280.7652,0.014363,0.014363,1.000000,10000
285.2937,0.014780,0.014780,1.000000,10000
289.8222,0.015143,0.015143,1.000000,10000
294.3506,0.015502,0.015502,1.000000,10000
298.8791,0.015846,0.015846,1.000000,10000
303.4076,0.016179,0.016179,1.000000,10000
307.9360,0.016483,0.016483,1.000000,10000
312.4645,0.016772,0.016772,1.000000,10000
316.9930,0.017050,0.017050,1.000000,10000
321.5215,0.017335,0.017335,1.000000,10000
326.0499,0.017614,0.017614,1.000000,10000
330.5784,0.017894,0.017894,1.000000,10000
335.1069,0.018198,0.018198,1.000000,10000
339.6353,0.018493,0.018493,1.000000,10000
344.1638,0.018793,0.018793,1.000000,10000
348.6923,0.019091,0.019091,1.000000,10000
353.2208,0.019396,0.019396,1.000000,10000
357.7492,0.019705,0.019705,1.000000,10000
362.2777,0.020037,0.020037,1.000000,10000
366.8062,0.020360,0.020360,1.000000,10000
371.3346,0.020691,0.020691,1.000000,10000
375.8631,0.021008,0.021008,1.000000,10000
380.3916,0.021347,0.021347,1.000000,10000
384.9201,0.021672,0.021672,1.000000,10000
389.4485,0.021986,0.021986,1.000000,10000
393.9770,0.022296,0.022296,1.000000,10000
398.5055,0.022596,0.022596,1.000000,10000
403.0339,0.022892,0.022892,1.000000,10000
407.5624,0.023205,0.023205,1.000000,10000
412.0909,0.023522,0.023522,1.000000,10000
416.6193,0.023835,0.023835,1.000000,10000
421.1478,0.024144,0.024144,1.000000,10000
425.6763,0.024471,0.024471,1.000000,10000
430.2048,0.024781,0.024781,1.000000,10000
434.7332,0.025088,0.025088,1.000000,10000
439.2617,0.025400,0.025400,1.000000,10000
443.7902,0.025729,0.025729,1.000000,10000
448.3186,0.026054,0.026054,1.000000,10000
452.8471,0.026395,0.026395,1.000000,10000
457.3756,0.026742,0.026742,1.000000,10000
461.9041,0.027077,0.027077,1.000000,10000
466.4325,0.027407,0.027407,1.000000,10000
470.9610,0.027761,0.027761,1.000000,10000
475.4895,0.028092,0.028092,1.000000,10000
480.0179,0.028421,0.028421,1.000000,10000
484.5464,0.028743,0.028743,1.000000,10000
489.0749,0.029082,0.029082,1.000000,10000
493.6034,0.029406,0.029406,1.000000,10000
498.1318,0.029735,0.029735,1.000000,10000
502.6603,0.030068,0.030068,1.000000,10000
507.1888,0.030393,0.030393,1.000000,10000
511.7172,0.030717,0.030717,1.000000,10000
516.2457,0.031054,0.031054,1.000000,10000
520.7742,0.031378,0.031378,1.000000,10000
525.3027,0.031707,0.031707,1.000000,10000
529.8311,0.032047,0.032047,1.000000,10000
534.3596,0.032396,0.032396,1.000000,10000
538.8881,0.032710,0.032710,1.000000,10000
543.4165,0.033036,0.033036,1.000000,10000
547.9450,0.033342,0.033342,1.000000,10000
552.4735,0.033648,0.033648,1.000000,10000
557.0020,0.034048,0.033952,0.999900,9999
561.5304,0.034461,0.034267,0.999800,9998
566.0589,0.034773,0.034580,0.999800,9998
570.5874,0.035085,0.034892,0.999800,9998
575.1158,0.035491,0.035201,0.999700,9997
579.6443,0.035797,0.035508,0.999700,9997
584.1728,0.036500,0.035825,0.999300,9993
588.7013,0.036917,0.036146,0.999200,9992
593.2297,0.037430,0.036466,0.999000,9990
597.7582,0.037949,0.036793,0.998800,9988
