u,phi_mean,phi_sd,n
0.0000,0.000000,0.000000,10000
0.0050,0.000006,0.000055,10000
0.0100,0.000028,0.000121,10000
0.0150,0.000062,0.000179,10000
0.0200,0.000109,0.000237,10000
0.0250,0.000167,0.000295,10000
0.0300,0.000242,0.000355,10000
0.0350,0.000335,0.000418,10000
0.0400,0.000436,0.000478,10000
0.0450,0.000555,0.000547,10000
0.0500,0.000687,0.000616,10000
0.0550,0.000838,0.000686,10000
0.0600,0.000999,0.000756,10000
0.0650,0.001183,0.000835,10000
0.0700,0.001389,0.000914,10000
0.0750,0.001615,0.001012,10000
0.0800,0.001860,0.001101,10000
0.0850,0.002122,0.001204,10000
0.0900,0.002405,0.001310,10000
0.0950,0.002704,0.001414,10000
0.1000,0.003030,0.001523,10000
0.1050,0.003377,0.001637,10000
0.1100,0.003743,0.001763,10000
0.1150,0.004124,0.001873,10000
0.1200,0.004510,0.001982,10000
0.1250,0.004913,0.002087,10000
0.1300,0.005329,0.002209,10000
0.1350,0.005752,0.002319,10000
0.1400,0.006192,0.002442,10000
0.1450,0.006640,0.002561,10000
0.1500,0.007120,0.002709,10000
0.1550,0.007631,0.002879,10000
0.1600,0.008149,0.003043,10000
0.1650,0.008670,0.003195,10000
0.1700,0.009242,0.003374,10000
0.1750,0.009837,0.003549,10000
0.1800,0.010468,0.003726,10000
0.1850,0.011110,0.003893,10000
0.1900,0.011771,0.004054,10000
0.1950,0.012444,0.004199,10000
0.2000,0.013124,0.004335,10000
0.2050,0.013806,0.004439,10000
0.2100,0.014491,0.004520,10000
0.2150,0.015151,0.004593,10000
0.2200,0.015816,0.004660,10000
0.2250,0.016459,0.004684,10000
0.2300,0.017100,0.004708,10000
0.2350,0.017716,0.004733,10000
0.2400,0.018324,0.004749,10000
0.2450,0.018906,0.004773,10000
0.2500,0.019470,0.004791,10000
0.2550,0.020027,0.004827,10000
0.2600,0.020574,0.004850,10000
0.2650,0.021125,0.004897,10000
0.2700,0.021658,0.004937,10000
0.2750,0.022170,0.004969,10000
0.2800,0.022689,0.005019,10000
0.2850,0.023188,0.005066,10000
0.2900,0.023706,0.005117,10000
0.2950,0.024206,0.005180,10000
0.3000,0.024705,0.005235,10000
0.3050,0.025191,0.005289,10000
0.3100,0.025687,0.005345,10000
0.3150,0.026171,0.005404,10000
0.3200,0.026656,0.005462,10000
0.3250,0.027143,0.005541,10000
0.3300,0.027628,0.005614,10000
0.3350,0.028107,0.005692,10000
0.3400,0.028605,0.005781,10000
0.3450,0.029100,0.005871,10000
0.3500,0.029596,0.005960,10000
0.3550,0.030108,0.006064,10000
0.3600,0.030625,0.006163,10000
0.3650,0.031141,0.006271,10000
0.3700,0.031652,0.006369,10000
0.3750,0.032178,0.006460,10000
0.3800,0.032693,0.006549,10000
0.3850,0.033204,0.006643,10000
0.3900,0.033719,0.006743,10000
0.3950,0.034236,0.006825,10000
0.4000,0.034763,0.006909,10000
0.4050,0.035300,0.006981,10000
0.4100,0.035825,0.007058,10000
0.4150,0.036380,0.007133,10000
0.4200,0.036910,0.007207,10000
0.4250,0.037439,0.007266,10000
0.4300,0.037970,0.007315,10000
0.4350,0.038508,0.007359,10000
0.4400,0.039009,0.007396,10000
0.4450,0.039517,0.007440,10000
0.4500,0.040032,0.007493,10000
0.4550,0.040537,0.007530,10000
0.4600,0.041041,0.007576,10000
0.4650,0.041542,0.007617,10000
0.4700,0.042041,0.007673,10000
