f,num_active_particles,num_deleted_particles,total_deleted_rods,avalanche_sizes
0,992581,0,0,"0"
411.30172353045168,992580,1,1,"1"
543.27899247267953,992571,10,1,"1"
672.69060184211594,992570,11,1,"1"
979.19839975913408,992569,12,1,"1"
1086.6898255651106,992558,23,1,"1"
1153.3384689884422,992557,24,1,"1"
1166.6701625440924,992554,27,1,"1"
1174.6944771004471,992553,28,1,"1"
1247.7946758308722,992550,31,1,"1"
1271.8574765238066,992549,32,1,"1"
1275.1764893925676,992531,50,1,"1"
1340.5213203137007,992513,68,1,"1"
1340.8882895102195,992512,69,1,"1"
1360.2870116809763,992511,70,1,"1"
1410.921107591661,992510,71,1,"1"
1412.4368130313349,992509,72,1,"1"
1438.130927916864,992491,90,1,"1"
1454.8804918005553,992490,91,1,"1"
1472.9228284639246,992472,109,1,"1"
1500.3289485965959,992454,127,1,"1"
1591.3910334788443,992451,130,1,"1"
1758.4128087116858,992450,131,1,"1"
1788.3342649260246,992449,132,1,"1"
1861.8444596190125,992431,150,1,"1"
1902.6084725414471,992430,151,1,"1"
1903.4719801115666,992429,152,1,"1"
2003.109176083366,992428,153,1,"1"
2048.8685624337468,992427,154,1,"1"
2065.9665774041382,992424,157,1,"1"
2151.6224224622733,992421,160,1,"1"
2153.7384613046511,992420,161,1,"1"
2273.5518813880526,992417,164,1,"1"
2292.5751047678959,992399,182,1,"1"
2294.0850681895513,992398,183,1,"1"
2343.3839937021157,992397,184,1,"1"
2344.699699902123,992396,185,1,"1"
2359.9611341446703,992378,203,1,"1"
2363.3377163114369,992377,204,1,"1"
2387.6116669205371,992376,205,1,"1"
2439.7648272974029,992375,206,1,"1"
2483.9800459704261,992374,207,1,"1"
2514.8972490706924,992371,210,1,"1"
2537.1925826741226,992370,211,1,"1"
2541.2768868269304,992369,212,1,"1"
2570.8591553151573,992351,230,1,"1"
2667.7054410090673,992350,231,1,"1"
2671.8368916842442,992349,232,1,"1"
2727.4681574555775,992344,237,1,"1"
2761.7151913491412,992330,251,1,"1"
2785.9249162255951,992312,269,1,"1"
2789.1590337327557,992311,270,1,"1"
2802.8803456441501,992310,271,1,"1"
2803.4008339103393,992309,272,1,"1"
2831.8538789954378,992291,290,1,"1"
2911.087710534689,992290,291,1,"1"
3022.6661102355033,992288,293,2,"2"
3039.9931860308202,992287,294,1,"1"
3066.6884743408245,992271,310,1,"1"
3075.8331738946013,992270,311,1,"1"
3130.5030065877208,992252,329,1,"1"
3167.8149572254597,992234,347,1,"1"
3174.4400463597681,992231,350,1,"1"
3182.96658471909,992215,366,1,"1"
3224.7820626997172,992214,367,1,"1"
3250.7734356849237,992213,368,1,"1"
3286.5481060046736,992210,371,1,"1"
3294.2296643921777,992209,372,1,"1"
3315.6586830674482,992206,375,1,"1"
3330.9746364370135,992205,376,1,"1"
3376.4918567873992,992202,379,1,"1"
3380.7343737913525,992184,397,1,"1"
3382.2583553121667,992183,398,1,"1"
3399.0333828013904,992182,399,1,"1"
3406.8049010570908,992181,400,1,"1"
3422.1771100934184,992180,401,1,"1"
3458.1879836523758,992179,402,1,"1"
3501.3087609825347,992178,403,1,"1"
3518.0678173644983,992173,408,3,"2-1"
3531.2513674253014,992172,409,1,"1"
3562.6897260135456,992171,410,1,"1"
3591.5235906271455,992167,414,2,"2"
3641.937234145817,992166,415,1,"1"
3666.7943910496761,992156,425,1,"1"
