# Inclinacao local d log m / d log R por faixa de R, cilindros periodicos largos (mesma receita do df_wide_cylinders.csv).
Ts,seed,R_lo,R_hi,D_local
2,900001,5,8,1.7977
2,900001,8,12,1.734
2,900001,12,18,1.7064
2,900001,18,27,1.6898
2,900001,27,40,1.5933
2,900001,40,60,1.7387
2,900001,60,90,1.6223
2,900001,90,135,1.3234
2,900002,5,8,2.3179
2,900002,8,12,2.1399
2,900002,12,18,1.8874
2,900002,18,27,1.6252
2,900002,27,40,1.8499
2,900002,40,60,1.6115
2,900002,60,90,1.7933
2,900002,90,135,1.3998
2,900003,5,8,1.8373
2,900003,8,12,1.9387
2,900003,12,18,1.7771
2,900003,18,27,1.5951
2,900003,27,40,1.6383
2,900003,40,60,1.732
2,900003,60,90,1.7923
2,900003,90,135,1.2718
2,900004,5,8,1.8372
2,900004,8,12,1.6914
2,900004,12,18,1.6434
2,900004,18,27,1.6978
2,900004,27,40,1.7183
2,900004,40,60,1.6466
2,900004,60,90,1.7364
2,900004,90,135,1.2932
2,900005,5,8,2.1958
2,900005,8,12,1.765
2,900005,12,18,1.6286
2,900005,18,27,1.6778
2,900005,27,40,1.5865
2,900005,40,60,1.6123
2,900005,60,90,1.8747
2,900005,90,135,1.2012
128,900001,5,8,2.0022
128,900001,8,12,1.9341
128,900001,12,18,1.8789
128,900001,18,27,1.5176
128,900001,27,40,1.7498
128,900001,40,60,1.3688
128,900002,5,8,1.9628
128,900002,8,12,1.9026
128,900002,12,18,1.7819
128,900002,18,27,1.658
128,900002,27,40,1.6481
128,900002,40,60,1.4553
128,900002,60,90,0.5218
128,900003,5,8,1.9525
128,900003,8,12,1.9133
128,900003,12,18,1.7895
128,900003,18,27,1.7174
128,900003,27,40,1.7379
128,900003,40,60,1.3543
128,900004,5,8,1.8868
128,900004,8,12,1.7293
128,900004,12,18,1.712
128,900004,18,27,1.7117
128,900004,27,40,1.8126
128,900004,40,60,1.4545
128,900005,5,8,1.8664
128,900005,8,12,1.8794
128,900005,12,18,1.7423
128,900005,18,27,1.748
128,900005,27,40,1.6801
128,900005,40,60,1.3981
8192,900001,5,8,1.8952
8192,900001,8,12,1.9635
8192,900001,12,18,1.9961
8192,900001,18,27,1.9653
8192,900001,27,40,1.9056
8192,900001,40,60,0.9346
8192,900002,5,8,1.9751
8192,900002,8,12,1.9658
8192,900002,12,18,1.9602
8192,900002,18,27,1.9479
8192,900002,27,40,1.8747
8192,900002,40,60,0.9308
8192,900003,5,8,1.9831
8192,900003,8,12,2.0058
8192,900003,12,18,1.9644
8192,900003,18,27,1.9576
8192,900003,27,40,1.9284
8192,900003,40,60,0.9738
8192,900004,5,8,1.923
8192,900004,8,12,2.0075
8192,900004,12,18,1.9543
8192,900004,18,27,1.9733
8192,900004,27,40,1.8019
8192,900004,40,60,1.0946
8192,900005,5,8,1.9696
8192,900005,8,12,1.9546
8192,900005,12,18,1.9548
8192,900005,18,27,1.9919
8192,900005,27,40,1.7856
8192,900005,40,60,1.0019
