# D_f de cilindros periodicos largos sob varias regras de janela. Gerados por Code/Dla/fast_dla2.cpp (commit 17cfc1f), -mode s -rng fast -period 216, compilado -O2. Regenerar: fast_dla2 -ts <Ts> -num_bind 60000 -seed <seed> -rng fast -period 216. Analise: measure_df_periodic.py + este cabecalho. Data 2026-09-01.
objeto,Ts,seed,nb,periodo,R_max,R_99,faixa_cheia,ate_R99,fixa_4_8,relativa_0p15R_0p5R,faseA_1p5_12,publicado
cilindro_periodico,2,900001,60000,216,160.1255,150.4427,1.5903,1.6129,1.7337,1.6633,1.8714,1.708
cilindro_periodico,2,900002,60000,216,180.4781,161.2669,1.6219,1.6751,2.307,1.6763,1.946,1.708
cilindro_periodico,2,900003,60000,216,154.5258,144.0372,1.6447,1.6684,1.8351,1.7044,1.7842,1.708
cilindro_periodico,2,900004,60000,216,156.3636,145.4119,1.6088,1.633,1.8513,1.6864,1.7896,1.708
cilindro_periodico,2,900005,60000,216,153.6044,144.5844,1.6186,1.6386,2.0733,1.6432,1.9166,1.708
cilindro_periodico,128,900001,60000,216,87.7945,81.6091,1.5518,1.5921,2.0299,1.6323,1.9763,1.79
cilindro_periodico,128,900002,60000,216,91.8719,85.0689,1.5258,1.5653,1.9165,1.6531,1.9343,1.79
cilindro_periodico,128,900003,60000,216,88.4736,80.7347,1.5632,1.618,1.9506,1.712,2.0471,1.79
cilindro_periodico,128,900004,60000,216,79.8991,74.1469,1.638,1.6666,1.9573,1.7464,1.9958,1.79
cilindro_periodico,128,900005,60000,216,82.7677,77.8893,1.6052,1.6328,1.9633,1.7088,1.97,1.79
cilindro_periodico,8192,900001,60000,216,67.6856,61.922,1.76,1.8221,1.9199,1.9731,1.9455,1.963
cilindro_periodico,8192,900002,60000,216,70.4718,64.539,1.7185,1.7801,1.9902,1.9418,1.9648,1.963
cilindro_periodico,8192,900003,60000,216,63.2083,56.9474,1.821,1.8905,1.9531,1.9602,1.9612,1.963
cilindro_periodico,8192,900004,60000,216,68.501,62.0645,1.7469,1.806,1.9129,1.9496,1.9257,1.963
cilindro_periodico,8192,900005,60000,216,70.8574,65.5668,1.7189,1.7685,1.9561,1.9507,1.9624,1.963
fibrila_livre,128,900001,30000,0,15.3695,14.5464,1.5011,1.5819,1.9439,2.0036,1.9554,1.79
