ts,m,xmin,n_tail,gamma,se_gamma,s_c,se_s_c,eta,se_eta,lr_vs_exponential,p_lr,d_B_implied,ks_araujo,ks_exponential,ks_lognormal,ks_stretched,best_model
2,1,2,206091,1.8738,0.0078,135.85,4.33,2.5687,0.1114,1140.7,4.695e-250,1.067,0.025279,0.030105,0.026559,0.02926,araujo
2,2,2,141850,1.995,0.0135,124.78,5.67,3.5393,0.2678,1097.2,1.363e-240,1.003,0.032579,0.035056,0.02655,0.028724,lognormal
2,3,2,124096,2.037,0.0179,118.14,6.14,3.9881,0.6614,1049.4,3.233e-230,0.982,0.033929,0.035292,0.025379,0.027164,lognormal
2,5,2,118560,2.0549,0.0193,116.24,7.33,4.0299,0.455,919.6,5.449e-202,0.973,0.027891,0.029678,0.021223,0.022917,lognormal
2,10,2,119740,2.0219,0.021,104.96,7.64,4.1791,0.6939,869.5,4.186e-191,0.989,0.016768,0.021188,0.01768,0.019414,araujo
8,1,2,336209,2.2292,0.0073,127.97,4.31,3.1189,0.1842,971.1,3.480e-213,0.897,0.017876,0.020017,0.013674,0.0146,lognormal
8,2,2,208748,2.3222,0.0111,107.99,6.67,3.7055,0.4345,586.0,1.821e-129,0.861,0.012926,0.015023,0.009381,0.010112,lognormal
8,3,2,174072,2.3559,0.0135,103.72,7.77,3.63,0.7915,390.7,5.802e-87,0.849,0.008219,0.010914,0.007793,0.007891,lognormal
8,5,2,157330,2.3347,0.0177,91.73,10.25,3.0072,1.9218,223.0,2.048e-50,0.857,0.002903,0.007062,0.006236,0.006558,araujo
8,10,2,151861,2.1101,0.0579,52.62,12.3,1.1802,0.3093,7.1,7.645e-03,0.948,0.002326,0.002757,0.007315,0.006959,araujo
16,1,2,433879,2.5027,0.0079,111.51,5.63,3.2028,0.2413,570.5,4.296e-126,0.799,0.008121,0.009648,0.004896,0.005265,lognormal
16,2,2,258839,2.5193,0.0101,84.57,5.2,3.1373,0.4578,327.4,3.607e-73,0.794,0.002853,0.005638,0.004028,0.004093,araujo
