ts,m,n_fibrils,n_runs,n_cascades,s_max,xmin,gamma,se_gamma,ci_lo,ci_hi,n_tail,ks,gof_p,lr_stat,lr_p,mean_size,p99_size,cut_gamma,cut_se_gamma,cut_lambda,cut_sc,cut_ks,xmin_floor,gamma_floor,n_tail_floor,cutf_gamma,cutf_se_gamma,cutf_sc,R_lognorm,p_lognorm,R_exp,p_exp,R_stretch,p_stretch,beta_stretch,verdict
2,1,200,10000,612263,348,2,1.9702,0.0059,1.9579,1.9821,206091,0.02245,0.0004,4229.657,0.002,3.367,43,1.8084,0.0094,0.008371,119.45,0.03011,2,1.9702,206091,1.8084,0.0111,119.45,-36.76,0.0,126.78,0.0,-37.19,0.0,0.1336,rejected -> cutoff/lognormal/stretched_exponential
2,2,200,10000,499967,272,2,2.0676,0.0101,2.0472,2.0869,141850,0.02159,0.0004,1540.961,0.002,2.7,35,1.9496,0.0152,0.006795,147.17,0.03506,2,2.0676,141850,1.9496,0.0149,147.17,-28.02,0.0,115.31,0.0,-26.14,0.0,0.0798,rejected -> cutoff/lognormal/stretched_exponential
2,3,200,10000,459719,248,2,2.1042,0.0133,2.079,2.1295,124096,0.02043,0.0004,1044.512,0.002,2.53,32,2.0005,0.019,0.006199,161.32,0.03529,2,2.1042,124096,2.0005,0.0185,161.32,-30.22,0.0,111.44,0.0,-26.54,0.0,0.062,rejected -> cutoff/lognormal/stretched_exponential
2,5,200,10000,432683,205,2,2.1201,0.0151,2.0907,2.1505,118560,0.016,0.0004,975.512,0.002,2.501,32,2.0149,0.0216,0.006529,153.16,0.02968,2,2.1201,118560,2.0149,0.0211,153.16,-24.76,0.0,105.07,0.0,-22.79,0.0,0.0691,rejected -> cutoff/lognormal/stretched_exponential
2,10,200,10000,399303,154,2,2.0982,0.0171,2.0666,2.135,119740,0.01427,0.0004,1530.832,0.002,2.637,33,1.9549,0.0248,0.00936,106.84,0.02119,2,2.0982,119740,1.9549,0.0279,106.84,-22.84,0.0,96.64,0.0,-23.2,0.0,0.1166,rejected -> cutoff/lognormal/stretched_exponential
8,1,200,10000,1152155,274,2,2.2711,0.0062,2.2592,2.2833,336209,0.00997,0.0004,1334.762,0.002,2.264,23,2.1909,0.0081,0.006169,162.09,0.02002,2,2.2711,336209,2.1909,0.0102,162.09,-34.13,0.0,135.58,0.0,-31.65,0.0,0.0588,rejected -> cutoff/lognormal/stretched_exponential
8,2,200,10000,743352,191,2,2.3598,0.0103,2.34,2.3813,208748,0.00815,0.0004,643.104,0.002,2.069,19,2.2816,0.0126,0.006902,144.89,0.01502,2,2.3598,208748,2.2816,0.0127,144.89,-22.97,0.0,101.42,0.0,-21.68,0.0,0.0592,rejected -> cutoff/lognormal/stretched_exponential
8,3,200,10000,621229,176,2,2.3924,0.0125,2.3662,2.4153,174072,0.00667,0.0004,548.268,0.002,2.015,18,2.3081,0.0178,0.007915,126.34,0.01091,2,2.3924,174072,2.3081,0.018,126.34,-16.71,0.0,86.63,0.0,-16.43,0.0,0.0705,rejected -> cutoff/lognormal/stretched_exponential
8,5,200,10000,548200,130,2,2.3821,0.0136,2.355,2.4084,157330,0.00676,0.0004,813.487,0.002,2.025,17,2.2622,0.0205,0.011872,84.23,0.00706,2,2.3821,157330,2.2622,0.0223,84.23,-16.81,0.0,75.93,0.0,-17.14,0.0,0.1086,rejected -> cutoff/lognormal/stretched_exponential
8,10,200,10000,491297,127,2,2.2921,0.0129,2.2671,2.3162,151861,0.02162,0.0004,2103.036,0.002,2.173,18,2.0728,0.0266,0.022017,45.42,0.00276,2,2.2921,151861,2.0728,0.0265,45.42,-27.17,0.0,64.75,0.0,-27.87,0.0,0.1917,rejected -> cutoff/lognormal/stretched_exponential
