file,set,ts,content,type,xmin,points
individual_ccdf_xy.dat,S0,2,empirical,xy,34,402
individual_ccdf_xy.dat,S1,2,model,xy,34,402
individual_ccdf_xy.dat,S2,8,empirical,xy,88,552
individual_ccdf_xy.dat,S3,8,model,xy,88,552
individual_ccdf_xy.dat,S4,16,empirical,xy,7,629
individual_ccdf_xy.dat,S5,16,model,xy,7,629
individual_ccdf_xy.dat,S6,32,empirical,xy,5,594
individual_ccdf_xy.dat,S7,32,model,xy,5,594
individual_ccdf_xy.dat,S8,64,empirical,xy,13,519
individual_ccdf_xy.dat,S9,64,model,xy,13,519
individual_ccdf_xy.dat,S10,128,empirical,xy,22,463
individual_ccdf_xy.dat,S11,128,model,xy,22,463
individual_ccdf_xy.dat,S12,512,empirical,xy,8,394
individual_ccdf_xy.dat,S13,512,model,xy,8,394
individual_ccdf_xy.dat,S14,1024,empirical,xy,13,424
individual_ccdf_xy.dat,S15,1024,model,xy,13,424
individual_ccdf_xy.dat,S16,4096,empirical,xy,18,389
individual_ccdf_xy.dat,S17,4096,model,xy,18,389
individual_ccdf_xy.dat,S18,8192,empirical,xy,21,469
individual_ccdf_xy.dat,S19,8192,model,xy,21,469
model_gof_xy.dat,S0,all,exponential,xy,condition-specific,10
model_gof_xy.dat,S1,all,power_law,xy,condition-specific,10
model_gof_xy.dat,S2,all,cutoff_power_law,xy,condition-specific,10
model_gof_xy.dat,S3,all,lognormal,xy,condition-specific,10
model_gof_xy.dat,S4,all,stretched_cutoff_power_law,xy,condition-specific,10
