ts,model,model_label,xmin,n_total,n_tail,tail_fraction,maximum_size,scaling_decades,parameter_count,log_likelihood,aic,bic,ks,block_gof_p,block_gof_exceedances,block_gof_replicates,block_gof_mc_ci_low,block_gof_mc_ci_high,adequate_at_0_10,lambda,lambda_ci_low,lambda_ci_high,alpha,alpha_ci_low,alpha_ci_high,mu,sigma,mu_ci_low,mu_ci_high,sigma_ci_low,sigma_ci_high,scale,beta,scale_ci_low,scale_ci_high,beta_ci_low,beta_ci_high
2,exponential,exponencial,34,6796929,78888,0.01160641813383662,435,1.1070103399123823,1,-331431.51883214666,662865.0376642933,662874.3134486973,0.06686273589162517,0.001,0,999,0.0,0.003685762865739383,False,0.04071238700417976,0.03621414003324062,0.04603067535706755,,,,,,,,,,,,,,,
2,power_law,potência pura,34,6796929,78888,0.01160641813383662,435,1.1070103399123823,1,-329982.3512415681,659966.7024831362,659975.9782675402,0.04355703605817485,0.005,4,999,0.001092001034144059,0.01021985261852804,False,,,,3.1925895592291496,3.0184411303860728,3.3835495002187224,,,,,,,,,,,,
2,cutoff_power_law,potência + corte exponencial,34,6796929,78888,0.01160641813383662,435,1.1070103399123823,2,-329048.51653132425,658101.0330626485,658119.5846314565,0.010157167509294962,0.685,684,999,0.6548584221922916,0.7134179622030442,True,0.011561984802138672,0.0072354992155363234,0.01918509354785015,2.220012488944571,1.6453724244280807,2.6635536318939774,,,,,,,,,,,,
2,lognormal,lognormal,34,6796929,78888,0.01160641813383662,435,1.1070103399123823,2,-329031.27149360266,658066.5429872053,658085.0945560134,0.007341126547837362,0.864,863,999,0.8410245076056815,0.8845330506557435,True,,,,,,,2.356451927220201,0.9437722926305887,0.9822440926849433,3.0435792809857443,0.7534387869571245,1.2205287405629892,,,,,,
2,stretched_cutoff_power_law,potência + corte estendido,34,6796929,78888,0.01160641813383662,435,1.1070103399123823,3,-329038.0805394597,658082.1610789194,658109.9884321315,0.009073619851376113,0.728,727,999,0.6989802028608926,0.7551262317945634,True,,,,1.8152698280773156,1.3837463225074513,3.0824805547980003,,,,,,,34.00000000000001,0.7295346867966757,34.00000000000001,295.02443549119874,0.68470364252804,4.690259083571372
8,exponential,exponencial,88,12890665,9097,0.00070570447684429,639,0.8610181860082315,1,-42628.14747822303,85258.29495644606,85265.41065641388,0.05779921403867294,0.006,5,999,0.0016270485051574286,0.011641072774819454,False,0.02507383425966383,0.02216194241513058,0.028544804188386296,,,,,,,,,,,,,,,
8,power_law,potência pura,88,12890665,9097,0.00070570447684429,639,0.8610181860082315,1,-42510.29285486963,85022.58570973926,85029.70140970708,0.026480676882889465,0.195,194,999,0.17009365094925044,0.2201114845884086,True,,,,4.0764537250697295,3.8057693757082265,4.42718495030728,,,,,,,,,,,,
8,cutoff_power_law,potência + corte exponencial,88,12890665,9097,0.00070570447684429,639,0.8610181860082315,2,-42459.24899754967,84922.49799509934,84936.72939503498,0.008493292469251679,0.858,857,999,0.8346498617677107,0.8789326311068125,True,0.006858151922922644,0.0005817879376178652,0.01793470251895977,2.909751927978287,1.0946752615718276,4.176840588339109,,,,,,,,,,,,
8,lognormal,lognormal,88,12890665,9097,0.00070570447684429,639,0.8610181860082315,2,-42459.93979070615,84923.8795814123,84938.11098134794,0.009741075367976137,0.727,726,999,0.6979506008195188,0.7541597969573492,True,,,,,,,2.757333304736011,0.8657096672189915,-47.111589811809964,4.073149469599657,0.5717360324315375,3.9724443818633492,,,,,,
8,stretched_cutoff_power_law,potência + corte estendido,88,12890665,9097,0.00070570447684429,639,0.8610181860082315,3,-42459.211277562936,84924.42255512587,84945.76965502933,0.008123602299819788,0.827,826,999,0.8019083057091211,0.8498014540328633,True,,,,2.645639637169981,1.6973806197048686,4.25401840231792,,,,,,,88.00000000000003,0.8344965486150605,88.00000000000003,727.215195567295,0.39279675743676296,4.999999999999999
16,exponential,exponencial,7,18860218,360639,0.019121677172554422,635,1.9576756852777188,1,-1302898.0972826523,2605798.1945653046,2605808.9901980413,0.16817270304191634,0.001,0,999,0.0,0.003685762865739383,False,0.07334913172970903,0.06607191337800661,0.08110747010814644,,,,,,,,,,,,,,,
16,power_law,potência pura,7,18860218,360639,0.019121677172554422,635,1.9576756852777188,1,-1248597.4959059418,2497196.9918118836,2497207.7874446204,0.032749225759666545,0.001,0,999,0.0,0.003685762865739383,False,,,,2.2440371349916193,2.1904863648003006,2.3059508978547143,,,,,,,,,,,,
